DeepBind	NRLB
-2.023771	-3.4440696813985996
-0.894673	-3.732315407030904
-1.694214	-3.708894624941243
-2.581177	-3.680569799189874
-1.848237	-3.444956083726702
-2.798168	-3.6434388464209464
-2.049062	-3.752575595173613
-2.356548	-3.6952742336277273
-0.728314	-3.605852561150826
-2.939465	-3.601801754377139
-0.711690	-3.5574489672347256
-1.658612	-3.5598018596098826
-1.456425	-3.5970536871306047
0.603389	-3.5225456741443457
-1.086134	-3.553753702137066
-0.989095	-3.6008766695120715
-0.452066	-3.6813907388648426
-1.204709	-3.547338045968851
-2.153288	-3.661821021223449
-1.951928	-3.5771137033053355
-2.673732	-3.4123362675036293
-2.327385	-3.451422707905093
-0.886802	-3.7254736269611057
-0.063891	-3.651137966386308
-2.272873	-3.7155608219392464
-1.731431	-3.664871172845437
-2.349716	-3.535619941564419
-3.229993	-3.611607837244487
-1.795477	-3.633083897287242
0.691016	-3.668366206765439
-2.319479	-3.762252855701792
-0.199711	-3.6143848017189293
-2.287154	-3.4877300650124834
-2.564662	-3.5024679881332164
-2.760880	-3.616845534038899
-1.546106	-3.7381747016995237
-1.702987	-3.5084824519856066
-1.144603	-3.6049114822124575
-0.963264	-3.702139047405879
-0.784006	-3.5859603396866966
-2.759468	-3.5094696537336874
-2.313230	-3.6141468568805375
-2.954486	-3.3715438749148237
-2.230831	-3.566401239311024
-2.617231	-3.600409505790473
0.174034	-3.6825077096930587
-2.415535	-3.5766870635652768
-3.242773	-3.6250371793370513
-1.734829	-3.6311949530962178
-1.185404	-3.682895384152767
-1.012969	-3.7700221598781254
-0.698402	-3.600185284071785
-1.306099	-3.660385731105136
-1.422815	-3.515080787109807
-1.765695	-3.787545314965352
-3.343384	-3.4862731168068097
0.308907	-3.7950325994662983
-2.313742	-3.50963047588889
-3.027875	-3.5678347571211186
-2.405169	-3.6013487245956584
-0.956403	-3.685930748000074
-0.577890	-3.6236842400332656
-1.594608	-3.5064076877767727
-0.654370	-3.6243000985729528
-1.658149	-3.4479498458770843
-2.953362	-3.649428113630161
-1.925860	-3.5600599742199317
-0.245299	-3.594661678407591
0.220909	-3.5678518536761348
-1.467054	-3.6886141218012454
-2.393953	-3.6560149652721767
-1.637705	-3.496790658054787
-1.446184	-3.734800279691799
-0.213285	-3.7741438277843846
0.052561	-3.5206321972606536
-0.168709	-3.556253751144532
-0.488129	-3.5874139584262386
-2.617347	-3.612197063025933
-1.310444	-3.5486412816271073
-2.534077	-3.637341613076688
-1.900672	-3.7727561934878744
-2.458460	-3.6461848018174465
-0.138291	-3.5940773233354872
-2.605726	-3.482745872849314
-3.242162	-3.4064438646286996
-0.866065	-3.5924500061840843
-2.322689	-3.6093743264476728
-0.777119	-3.626586507171271
-1.544784	-3.603965073073073
-0.060279	-3.7488951979747718
-3.055886	-3.476641672631445
-3.128546	-3.708083710414144
0.463342	-3.5554423740654517
-0.959688	-3.6314674115441097
-1.069112	-3.797212008790692
-3.411191	-3.638242776987834
-2.935441	-3.5952003388048164
-1.798503	-3.577848351910023
-1.416138	-3.6333051437072124
-2.256945	-3.60286755951944
-1.358054	-3.645070094028424
-0.626628	-3.6447007907328963
-0.612838	-3.424248060152257
1.124885	-3.7475699360879746
-0.901902	-3.696695286832973
-3.257316	-3.547582902883065
-0.972618	-3.7185875615770536
-1.202125	-3.629810620588463
-1.494137	-3.64628138806713
-1.956163	-3.5499633863224602
-0.932757	-3.7509308918802957
-0.987491	-3.6462885348817924
-1.145830	-3.6567534815867764
-1.984169	-3.629351593726801
-2.046239	-3.548740197682479
-2.166791	-3.7275519970291513
-0.941512	-3.5288286085614087
-1.278929	-3.675094385369513
-2.959614	-3.498557481538835
-0.898873	-3.4658349316393537
0.965440	-3.6787890145928355
-2.114098	-3.654499763737532
0.139126	-3.7142118915301596
-1.808600	-3.6860309818491563
-3.296263	-3.6654524189073348
-0.344561	-3.5424172975596973
4.114711	-3.4742940099872692
-1.402312	-3.7520316825005784
-3.252531	-3.6030359003811316
-1.480990	-3.7823638665066097
-1.299578	-3.681387664681852
-2.289991	-3.4913891588604455
-2.455654	-3.6227979709185827
-1.116969	-3.659921993448942
-1.410110	-3.709058220284295
-0.518656	-3.611123892773943
-0.536672	-3.718198039361635
-0.214305	-3.565188024748494
-3.114075	-3.4450441464328723
-2.805345	-3.475159295535733
-0.635829	-3.6531297836308894
-0.187495	-3.2993161667075137
-2.133507	-3.660419656211591
0.817747	-3.6866760271558623
-2.499107	-3.5047795142377884
-1.707224	-3.4641816871636566
-0.309881	-3.6204546655765397
-1.731245	-3.573419942037027
-0.151955	-3.523252614950334
-1.630290	-3.7062292540828334
-0.633185	-3.722840319991904
-1.583963	-3.5399541805772197
-1.862914	-3.598927809468983
-2.500083	-3.6230999523190732
-2.248431	-3.694264682549736
-1.693418	-3.718548936166977
-2.006066	-3.3934410867980676
0.187727	-3.6435158520488464
-1.533761	-3.5319818698688965
0.150967	-3.565370123452339
-2.484550	-3.716063139883009
-1.680329	-3.8330152215465763
-1.277291	-3.543182858728973
-1.177251	-3.732525218669333
-0.471563	-3.5247970658012227
-0.593636	-3.5304472003314222
-0.479844	-3.625502858223731
-1.699675	-3.491125243507761
-0.301785	-3.51083169389642
-2.204834	-3.4414264366850116
-0.418118	-3.6402933871714684
-2.504114	-3.531968069976781
-0.476436	-3.6156656353318044
-1.103191	-3.6531191515422834
-1.401797	-3.7213192361663725
-0.412367	-3.701816063734818
-2.094674	-3.619545350643853
-1.447524	-3.606629991825741
0.577916	-3.769050827315642
-1.430139	-3.5566155156285455
-1.499207	-3.7231773014633394
-2.635516	-3.6862599946830663
-0.457955	-3.5913733310502534
-1.813596	-3.78721503024702
-2.360416	-3.5644518883589766
-1.412233	-3.65595373416221
-0.588808	-3.5489127557277578
-0.878439	-3.625648815770482
-2.941881	-3.509572506482874
-0.530589	-3.683838951484509
-1.061405	-3.7160316896581356
-2.416693	-3.6256628388408587
-1.459110	-3.648622992772325
-2.103555	-3.7078549369848064
-1.333025	-3.570048508227791
0.668141	-3.4791980161417846
-0.711672	-3.516457576225297
-2.247009	-3.6018800764265944
-1.700766	-3.7089917821297127
-0.210998	-3.6039008647410733
0.464746	-3.7881987751685258
-1.668312	-3.60735284804
-1.845795	-3.5899608814427015
-3.605529	-3.6245611187987263
-1.890682	-3.5770118628668537
-2.375361	-3.5259286360414754
-1.964111	-3.6625250310353286
-0.577814	-3.607779180735728
-1.927190	-3.6215539429293373
-0.899321	-3.6540338203289147
0.710350	-3.725688590596718
-2.195802	-3.614224263392198
-1.332847	-3.576512560098673
-1.009342	-3.606307584397373
-1.290363	-3.576586466780973
-3.638491	-3.534075188649908
-0.637440	-3.7449676180079945
-2.138479	-3.580763181693116
-0.625521	-3.736465624885747
