DeepBind	NRLB
-1.390284	-4.842899702386488
-0.211811	-4.52061781238566
-0.581342	-4.475556749505643
-0.036458	-4.612652322069971
0.972529	-4.401341723767577
0.311006	-4.867537782556149
-1.987395	-4.945385995238501
-0.840197	-4.789559772533464
-2.040619	-4.718162566558159
0.456949	-4.563829396442519
0.919775	-4.252196466427842
-2.109040	-4.664563687589925
-0.782225	-4.615155836023721
-1.685244	-4.846160067098741
-0.521758	-4.644221988909943
-0.538250	-4.830829126157412
-1.202121	-4.785423145536555
-0.710075	-5.024974411400079
-0.846830	-4.602020334139211
-1.984689	-4.920649066567096
-0.413009	-4.6527700993935905
-0.995619	-4.583803463562361
-2.080644	-4.753707718589424
-0.159306	-4.83519491892248
-0.043971	-4.746098596881195
-0.290961	-4.3026186977592715
-1.048706	-4.57086243173339
0.243117	-4.665154255112583
-2.162567	-5.042918801062452
0.731201	-4.4727804560166655
-0.884757	-4.909333064045359
-0.673260	-4.862237633237206
1.524281	-4.619943511818361
-2.329634	-4.6994952669620496
-0.365837	-4.537691092293534
-0.415290	-4.361632849885435
-0.870114	-4.785720893466679
-1.395824	-4.55948256418694
1.841789	-4.4675604696976
-0.617144	-4.686077737287026
-0.091593	-4.488840864404301
-1.325543	-4.915959138285841
-0.188431	-4.3437110102736245
-1.806896	-4.489343142987936
-1.291762	-4.744688190593238
-0.191226	-4.644758366862606
-1.264131	-4.721389955053846
0.377064	-4.3244735836931065
-0.820530	-4.6187952297611785
0.335808	-4.58664440264904
-0.001782	-4.408043041470007
-0.148676	-4.452578559205485
-0.126098	-4.578629819526092
2.230608	-4.8978432289957885
-1.426079	-4.855628844149494
-1.237257	-4.971676151796221
-1.072080	-4.9040033622064
-2.060908	-4.72260787141961
0.709291	-4.707500153608848
-1.790585	-4.771320194386958
-0.596959	-4.879074805330137
-0.312104	-4.52368985936393
1.119958	-4.733446272267073
-1.714052	-4.88657111068237
-0.132987	-4.667532598996707
0.629539	-4.640881459352473
-1.213781	-4.597988883452064
-0.004194	-4.480130315625034
1.027493	-4.711178339632032
-0.479644	-4.585327154702308
-1.293207	-4.9764433363715295
-0.630109	-4.513890144940855
-1.335312	-4.645689387332181
-1.184983	-4.628752349021513
-2.478280	-5.204738003472583
-1.195616	-4.869156529094766
-2.411930	-4.512839776309354
-1.911698	-4.824270993553393
0.313344	-4.486136925506796
-0.077936	-4.799022270417904
-0.016382	-4.751583536813843
0.251461	-4.799217920280415
0.596336	-4.81870499585969
-1.535565	-4.729494379495532
0.885277	-4.83253569603853
-0.701760	-4.527986941748619
-0.407657	-4.4725129940522566
-0.984908	-4.954294289793145
-0.730508	-4.720164893558994
-1.601405	-4.81983965395694
-1.004437	-4.61508207651903
-0.251091	-4.740173852600162
0.393561	-4.653914135853046
-1.197220	-4.868426753736842
-1.828154	-4.827650920079241
-2.251231	-4.696775208399327
-0.777976	-4.634538316467125
3.255499	-4.602975509443323
-1.693477	-4.789163475115488
-0.523288	-4.527419957422259
-0.456789	-4.644684881309124
-0.286119	-4.503261392068216
-0.895006	-4.627952642096213
1.050002	-5.139326807857906
-0.832004	-4.733916415919847
0.212941	-4.640162275616717
-0.613745	-4.673823848890879
-1.861431	-4.610827632190165
-0.072293	-4.51871407778554
3.647394	-4.645855501745137
-0.815998	-4.674382762451488
-2.773158	-5.1318936288879105
-1.301505	-4.706801589461706
-1.174261	-4.839271626522918
1.034151	-4.505729678864187
-1.923133	-4.929552840756845
-1.554133	-4.662117769131572
-0.296118	-4.631151454202093
-2.417783	-4.953116942975495
-0.441308	-4.723293541209802
-1.779255	-4.69380489347175
3.846742	-4.684274268457892
-1.071089	-4.935806413659116
0.369080	-4.835328172120114
-0.785142	-4.496006017258805
0.162747	-4.741362908209854
-2.281448	-4.750614380710067
-0.531326	-4.7456406034890835
-2.473750	-5.127134736884367
-2.156059	-4.638672811486684
-0.936351	-4.6157173943644825
-2.286897	-4.7508053796532295
-1.799002	-4.714459858644504
-0.658692	-4.396350246691674
0.756370	-4.420077555145708
-1.938386	-4.807064480007833
-1.351323	-4.777902136658478
-0.510393	-4.946137521883064
1.908316	-4.567071340963513
-1.583409	-4.791823451766928
-1.151534	-4.738235778452043
-1.381919	-4.618678839929928
-1.923023	-4.836426484220978
-0.951815	-4.655564832566159
-1.805538	-4.646090360559413
0.059782	-4.288882267824862
0.284987	-4.548430614970899
-0.735313	-4.611895248311161
-0.570667	-4.753893860679654
-0.921393	-4.882941790831733
-2.294559	-4.743902580107413
-1.369521	-4.675698500624414
