DeepBind	NRLB
0.324964	-4.3960507931384045
0.163748	-4.475378561222395
0.100061	-4.441139001022225
0.230003	-4.588801914007513
0.201438	-4.585183045043079
0.541516	-4.559563534187989
0.213398	-4.342805487446438
0.096727	-4.503395598989921
0.072577	-4.618909905273796
0.033849	-4.415945220755279
0.874604	-4.445702963772617
0.287174	-4.692545251132933
0.376057	-4.4910750273327675
0.174260	-4.575602861925185
0.166236	-4.524422627532235
0.114935	-4.539578533895235
0.222482	-4.61070735702907
0.445875	-4.439556926312258
0.439531	-4.534943583222724
0.111699	-4.4740188357544906
0.206948	-4.482396405538233
0.162600	-4.629646166793003
0.272920	-4.499437771628649
-0.031966	-4.5456332846954135
0.152497	-4.611430482653727
0.280237	-4.666725069915787
0.037651	-4.6732854381766895
0.197532	-4.515859638323988
0.258434	-4.5631005870836
0.223771	-4.481537936031144
0.200695	-4.407961484567071
0.364351	-4.596129286910203
0.071278	-4.449778756289877
0.258143	-4.493371728307106
0.698879	-4.5246824888587
0.373273	-4.4556243427521665
0.215124	-4.62232539123905
0.596154	-4.516780971485801
0.438080	-4.461780923814247
0.530080	-4.558694565417021
0.138085	-4.336049152237217
0.163173	-4.4764661043143965
0.110711	-4.519223616121318
0.239430	-4.312673140616105
0.125154	-4.481275213633734
0.365117	-4.355346939632549
0.406354	-4.465645674041381
0.648367	-4.561624888734663
0.139782	-4.550060435178214
0.479329	-4.609383688665193
0.052754	-4.649005497437659
0.256424	-4.500285741519389
0.498984	-4.556414696662844
0.142466	-4.465498989807148
0.214897	-4.4247220527939035
0.145096	-4.621513479371732
0.370561	-4.583946939783478
0.368277	-4.478787499083283
0.370544	-4.420624717453447
0.298282	-4.513246295075872
2.224683	-4.160268628027255
0.218818	-4.599966867123283
0.150740	-4.622718128938441
0.097966	-4.393634568145305
0.616080	-4.451589210095401
0.088617	-4.552186380714952
0.182806	-4.547830679012803
0.336548	-4.450229760179289
0.332063	-4.445549698627302
-0.089202	-4.5000918885020464
0.187829	-4.586673157939301
0.240880	-4.456681109977437
0.252023	-4.54370270929484
0.074768	-4.37449327026684
0.267402	-4.583460558150768
-0.108513	-4.558275612618679
0.163522	-4.338615455856969
0.177827	-4.397473150697103
0.098550	-4.595850189496277
0.271133	-4.674894635273841
0.223905	-4.546179247696456
0.284567	-4.636275374074139
0.313390	-4.523891848964098
0.435619	-4.478688772964279
0.235855	-4.475732331067984
0.279313	-4.586712415421002
0.342168	-4.580413908951233
0.976387	-4.594440055506054
-0.107509	-4.601260568785386
0.233104	-4.392383527173407
0.391519	-4.604613041914853
0.335439	-4.548738904025747
0.413678	-4.465059361817196
0.338177	-4.566325669911808
0.509713	-4.404592056268178
0.007774	-4.565792685062015
0.266534	-4.6496555486652715
0.339034	-4.585040930572391
0.306157	-4.0751278638871336
0.363299	-4.554781315202351
0.142061	-4.557427316372113
0.236855	-4.50618555771211
0.256329	-4.5446644153873885
0.096339	-4.566691596931341
0.472096	-4.571847927981121
0.282655	-4.408305017420352
0.148197	-4.487003592286759
0.576178	-4.503410215076423
0.599954	-4.43538605298575
0.232135	-4.398719340470598
0.073491	-4.418692673106165
0.335858	-4.570154536574328
0.236861	-4.4591109193213185
0.185981	-4.641127080778777
0.198623	-4.564859665941702
0.200063	-4.62850326198447
0.401215	-4.531682852342681
1.295223	-4.352908839880803
0.405607	-4.441387109172326
0.874337	-4.579016265806266
0.050113	-4.462812699142705
-0.065985	-4.461166262507495
0.836399	-4.516894552841634
0.494670	-4.4484572752477085
0.272676	-4.57627703096857
0.338704	-4.495170577670218
0.164158	-4.467755633657091
0.040444	-4.546266023274628
0.175750	-4.507887149558789
-0.045236	-4.506207924940028
0.273680	-4.546030024321822
0.336129	-4.548741811684309
0.058206	-4.560377886944823
0.230086	-4.508144759711569
0.528359	-4.580294981623352
0.172160	-4.507090328677397
0.266154	-4.537620326852225
0.359165	-4.448280897237087
0.530657	-4.600538511882702
0.317495	-4.386160965079213
0.318812	-4.563688508388592
-0.007658	-4.5250675625666075
0.133692	-4.364379298053871
0.344212	-4.589893203323068
0.526137	-4.5820738699706665
0.464813	-4.35446837279864
0.044516	-4.5393902822573535
0.100152	-4.588325760344754
0.029904	-4.629995857857457
0.143972	-4.453891719788164
0.259394	-4.49398095656001
0.230939	-4.349104904502254
0.290653	-4.512999518777599
0.547397	-4.390550602262132
0.327685	-4.631692387680924
0.128222	-4.405418272172878
0.413617	-4.622584011233676
0.171934	-4.590999144097035
0.153595	-4.581417537142242
0.330561	-4.46116542758395
0.400113	-4.542558163556908
0.062125	-4.508909803521089
0.055856	-4.521362724609183
0.014748	-4.563080682009546
0.123922	-4.526688315097369
0.218470	-4.421310598851325
0.247390	-4.5282271945595785
0.060138	-4.600806944775873
0.500471	-4.4214733926050815
-0.004966	-4.575179398632774
0.249615	-4.550917445565297
0.111136	-4.5711855232606045
0.170702	-4.544813941452033
0.336363	-4.472471798512289
0.243300	-4.385173694073279
0.019668	-4.473853087957347
0.144808	-4.529593060608159
0.146489	-4.650466949527091
0.162307	-4.510578925485246
0.225565	-4.5325072739390615
0.161109	-4.5448605873215975
0.094098	-4.4863668400468315
0.358412	-4.602531387648334
0.205054	-4.445111396624242
0.372543	-4.504295675050575
0.265255	-4.38794204619497
0.505163	-4.507577033730833
0.349617	-4.570429234504341
0.140840	-4.496256178927945
0.183684	-4.5707132460580855
0.209066	-4.296988991952311
0.228446	-4.68141677421892
0.007323	-4.348820629987733
0.505217	-4.579165609575895
0.163445	-4.459928959705309
0.461214	-4.383237887166502
0.524905	-4.589445384357965
0.017968	-4.225259469936768
0.028196	-4.442033029860962
0.336093	-4.419163849458265
0.483345	-4.596281972973687
0.120266	-4.53015978755011
0.359299	-4.538583319317744
0.396322	-4.547831662446413
0.595608	-4.607510990710578
-0.041397	-4.600376809070876
0.333585	-4.5012438013999265
0.284205	-4.428110194588844
0.294341	-4.439876754145225
0.254852	-4.37253049579666
-0.106982	-4.428236901476214
0.353584	-4.466813944159464
0.179215	-4.3644686579359115
0.143921	-4.527389537567608
0.267314	-4.553975305671785
0.106794	-4.5168832936435175
0.385793	-4.432011477785261
0.952910	-4.367037236509567
0.453684	-4.592596742256585
-0.006665	-4.576509551094426
0.060618	-4.546184107884197
0.182605	-4.607450704343393
0.287112	-4.493730444864398
0.169647	-4.592567497843172
0.729839	-4.631576346680818
0.155736	-4.363937131107994
-0.028915	-4.555144818830105
0.221678	-4.613739363052339
0.232461	-4.503253280415853
0.478321	-4.54409295071505
0.422112	-4.500522985072507
0.011887	-4.446099420058868
0.272150	-4.398668104027304
1.208591	-4.296425406139451
0.139576	-4.442139598652013
0.219326	-4.375738302649167
0.183171	-4.634139352763436
0.330179	-4.510784271980789
0.251912	-4.4160139936027845
0.384944	-4.489171388472134
0.236981	-4.501998187321909
0.287297	-4.571856278941252
0.275824	-4.497432594101281
-0.124017	-4.436627988925373
0.386828	-4.614455119620245
0.065203	-4.564434745476341
0.280030	-4.496398045126561
0.270821	-4.514236611070923
0.339609	-4.419803941971269
-0.111429	-4.521756474866477
0.198766	-4.551095419612067
-0.019317	-4.400892175565552
0.177743	-4.519030812506277
0.046563	-4.5192176871124
0.265483	-4.588984920664437
0.241361	-4.455709185163004
0.155548	-4.457082759003399
0.170736	-4.379174739827204
0.165165	-4.549572008517843
0.395156	-4.505913663751069
0.249426	-4.340756303688114
0.663945	-4.500880414729137
-0.045216	-4.176120977996161
0.206734	-4.546588481138949
0.073481	-4.506797724910133
0.204633	-4.577638468619422
0.220805	-4.398375209540036
-0.007424	-4.6001795775967995
0.039826	-4.562275843268783
-0.073342	-4.532886984619188
0.242415	-4.66320802763315
0.073419	-4.447845215872425
0.073115	-4.500578883788928
0.177916	-4.500216779370928
0.326720	-4.5835295418398525
0.258549	-4.253669671944225
0.946187	-4.252051929586249
0.211107	-4.426401520866631
-0.046918	-4.446363854041251
0.187563	-4.409360892995373
0.338885	-4.5682758114817235
0.344166	-4.384572876528019
0.259105	-4.504065321330395
0.023454	-4.401427897297024
0.230662	-4.580350568205849
0.088997	-4.546290926510284
0.298817	-4.458632047759206
0.105582	-4.608786191345519
0.027804	-4.505991617508189
0.130073	-4.344121280705941
0.242938	-4.529476109782495
0.253617	-4.423642864539864
0.267562	-4.599921628393278
0.198699	-4.521222218522636
0.282661	-4.534766542656552
0.113101	-4.472884638511731
0.022802	-4.482357729687619
0.298712	-4.545809429204588
