DeepBind	NRLB
0.122287	-3.5605078077659824
0.170249	-3.5648279410966146
0.509398	-3.462203398868402
0.357342	-3.6595971464559147
0.171677	-3.63744790965266
0.362147	-3.4630434526563776
0.410709	-3.6095681859098203
0.177064	-3.6140797187480707
0.271232	-3.642382800679171
0.277538	-3.5053702278599475
0.169861	-3.5592059381263232
0.325208	-3.7304312919666245
0.204076	-3.572667818706458
0.199494	-3.5272823407662885
0.183986	-3.439567197663645
0.654214	-3.452084680053428
0.319523	-3.4743434963102127
0.297083	-3.6868693345857775
0.327273	-3.4837951271575442
0.138210	-3.3323524813958274
0.217762	-3.8226503037957675
0.415168	-3.5967369472045374
1.537725	-2.8494284171544897
0.545091	-3.766761721313827
0.312352	-3.525428063485167
0.311313	-3.4008415366536235
0.207216	-3.6260692333390794
0.369788	-3.639394398846668
0.529008	-3.594676559448651
0.145247	-3.6985721749715057
0.229065	-3.635452796126353
0.216759	-3.633343313933026
0.296668	-3.6708294054033606
0.410764	-3.475293785945099
0.156250	-3.6229177193980644
0.057572	-3.4669540871204116
0.190001	-3.6262760201833313
0.241113	-3.4786517841016997
0.301068	-3.6022179803116177
0.365691	-3.5351600829974332
0.035987	-3.693785527997854
0.187055	-3.5922276095043086
0.121530	-3.585372668328732
0.082296	-3.560768403053469
0.322112	-3.5711639329523046
0.248037	-3.5632904149718034
0.194548	-3.4976126789949205
0.324671	-3.5090727157616595
0.477779	-3.421890946431584
0.075011	-3.730185441576245
0.366340	-3.4858850816740645
0.171477	-3.415164175804157
0.304126	-3.4133198573111176
0.258660	-3.838019295843452
0.136397	-3.490933455679573
0.582956	-3.6150915098939924
0.398707	-3.4657178115805904
0.057131	-3.5444509136849778
0.468427	-3.443941801996166
0.402223	-3.5012403934679437
0.545052	-3.5672589100474656
0.126120	-3.5524765999256966
0.483520	-3.5163015709719248
0.290475	-3.4794343259867335
0.086068	-3.779501427185626
0.190737	-3.469006830540326
0.206624	-3.676630962660837
0.377763	-3.639847543311075
0.268654	-3.563890388914434
0.644716	-3.1799756281742027
0.244249	-3.617427449607516
0.272231	-3.3934384373064423
0.317255	-3.5839825838812356
0.282617	-3.6788328865788786
0.436267	-3.582586345103258
0.145592	-3.6218361904299834
0.315025	-3.484476991424046
0.230174	-3.557359982828911
0.282137	-3.4913460621031573
0.338413	-3.5036072476519333
0.354824	-3.641072102456345
0.093458	-3.6828338240068828
0.453651	-3.5405708645333207
0.093010	-3.6877722389053114
0.186357	-3.352960442795122
0.469471	-3.484227033253098
0.280476	-3.723988508827129
0.265062	-3.3730317130828134
0.076388	-3.5598744351285716
0.207548	-3.4799011372144113
0.290283	-3.592296003821593
0.276262	-3.5127236760391924
0.298473	-3.4422544334647363
0.173992	-3.483573141123699
0.057280	-3.6463084721556345
0.332931	-3.6175355292820943
0.030036	-3.69581350984671
0.320172	-3.56758456662282
0.211099	-3.6054223614983796
0.921574	-3.164865140833215
0.333052	-3.5980465291524957
0.134899	-3.6544337981128505
0.226843	-3.6750908921554664
0.459663	-3.545587383455736
0.300253	-3.42404055339141
0.224989	-3.5500582824121674
0.482840	-3.6158863852237233
0.372340	-3.6392872800094547
0.255935	-3.704920741857608
0.405812	-3.5548926782770573
0.077200	-3.6802241437714653
0.207722	-3.564696297489565
0.327258	-3.534559036555046
0.297117	-3.4655266691357487
0.382480	-3.6685840624375867
0.306074	-3.49713272549522
-0.002531	-3.783036130029702
0.360357	-3.4434353213190643
0.408798	-3.5954449039960164
0.344682	-3.5411287489768375
0.110850	-3.8748361209742495
0.394372	-3.554920826758233
0.501254	-3.538769211239869
0.123011	-3.726476239677075
0.444153	-3.5431395130798595
0.120289	-3.619544794567286
0.131829	-3.557629652601228
0.215491	-3.737460359877945
0.168614	-3.4370662639217837
0.265602	-3.687037474667583
0.401877	-3.680659676015315
0.109446	-3.7126277923351694
0.569597	-3.4235800057710355
0.186957	-3.5570713416895874
0.100760	-3.7225332920882943
0.216074	-3.6194690420796625
0.125981	-3.8105263102630493
0.175247	-3.604007206662851
0.190336	-3.5467208993077928
0.117424	-3.7366296660640734
0.153722	-3.4611173706057814
0.355152	-3.7442064720199126
0.094552	-3.4551426483593706
0.201756	-3.474718222798366
0.370899	-3.5448611698885837
0.110160	-3.734109767900011
0.240022	-3.778682588687846
0.098067	-3.6034941374242986
0.119038	-3.5896756498752733
0.101069	-3.750492739306466
0.258569	-3.575129365088327
0.425644	-3.613125267905474
0.295991	-3.825206229760867
0.220218	-3.5455138887513122
0.248094	-3.3978691393947282
0.144750	-3.568699261813528
0.265305	-3.6791382034989937
0.359029	-3.660388361839231
0.316062	-3.4837431996193846
0.489376	-3.548663948591681
0.193476	-3.5739603640064845
0.278064	-3.603941189460132
0.522060	-3.4423983628027175
0.167713	-3.5943323297908187
0.312327	-3.4777966867954464
0.165593	-3.630454045729437
0.342636	-3.357273398333843
0.231275	-3.4324865494841243
0.128857	-3.6172003897078384
0.284515	-3.392522459294025
0.345335	-3.6584382323785283
0.215374	-3.5297761988360223
0.131076	-3.505621050455939
0.204856	-3.522628712636818
0.675484	-3.526702506975558
0.675406	-3.441629428695644
0.369314	-3.531894109451732
0.476560	-3.5716555688459186
0.222190	-3.589885767147793
0.107593	-3.6421538619831737
0.722486	-3.4259771439813083
