DeepBind	NRLB
0.336661	-2.6381898536213777
0.342509	-2.7324557359193373
0.491150	-2.487400518926696
0.451893	-2.277844382771696
0.540596	-2.730780308104941
0.451308	-2.3181133028204326
0.344577	-2.302471557208066
0.415464	-2.4885644877932798
0.320423	-2.280208363697315
0.314460	-2.823030900328653
0.393156	-2.561366095937268
0.637082	-2.4717986253911417
0.333413	-2.5298182474431408
0.471450	-2.4393109964350663
0.383528	-2.4401803456748343
0.095862	-2.8479110850982483
0.495165	-2.287624239755374
0.330508	-2.327975782206351
0.299025	-2.50183234982501
0.174796	-2.1385566578422543
0.449402	-2.433295376006679
0.266255	-2.473989632603179
0.237879	-2.640780123954622
0.060699	-2.5618910160961845
0.661577	-2.2677575206963168
0.343449	-2.662231144069257
0.398329	-2.350261937159457
0.215110	-2.5495536920763437
0.392897	-2.2399349671420348
0.164836	-2.620529416032216
0.399451	-2.5759554384543875
0.512544	-2.5390684276124795
-0.016503	-2.4414129019118285
0.569827	-2.6113480599062893
0.118783	-2.4955198560234764
0.041891	-2.364074630354271
0.074216	-2.5357032874275975
-0.036816	-2.5505715107228912
0.289502	-2.738721738117939
0.281956	-2.298582001059029
0.217469	-2.8317502121550673
0.534289	-2.4065498568328842
0.058613	-2.598095689277214
0.268871	-2.416740267501092
0.120822	-2.24783549170677
0.164956	-2.554236774889745
0.363270	-2.620234594714728
0.239435	-2.119534945964143
0.137129	-2.471976281791122
0.228102	-2.319406133783262
0.347617	-2.367833543460365
0.329137	-2.5016251633412474
0.414853	-2.8330547222735163
0.417226	-2.3099993539344204
0.363722	-2.670009641359061
0.290424	-2.4288927194880627
0.344884	-2.0826890748790885
0.218036	-2.3541701450170565
0.079804	-2.5747447234505967
0.143970	-2.5802930168880223
0.448582	-2.418702210399745
0.074971	-2.5146963376791622
0.364322	-2.4227203089047276
0.404439	-2.6717253392744684
0.074535	-2.835763525598765
0.215802	-2.5202325364646243
0.254312	-2.5730522924709853
0.252312	-2.6616042378271865
0.458575	-2.2005112247443575
0.091674	-2.7335345305003482
0.401138	-2.509417065601013
0.485584	-2.310877460684061
0.387227	-2.3166072188377926
0.139028	-2.6339760942840034
0.651328	-2.5117258535009217
0.389785	-2.3437711754518546
0.477513	-2.3766876144331346
0.191618	-2.559986364181919
0.259711	-2.7338125926478996
0.343899	-2.4150706857784514
0.507439	-2.717284529620492
0.280604	-2.3501646622037113
0.274977	-2.339545576583813
0.014173	-2.4906141916233344
0.766791	-2.601767845567793
0.092553	-2.9153249556223293
0.318733	-2.420464400901125
0.194946	-2.5600831064888583
0.245518	-2.4094901037735843
0.573896	-2.2950061837812243
0.199879	-2.397755869666246
0.076011	-2.2099805497887988
0.385443	-2.3621934070768646
0.282279	-2.7054906550891995
0.214680	-2.573097196801323
0.750147	-2.193269204548877
0.497433	-2.5754698169090067
0.531529	-2.508695786699646
0.441875	-2.3766718658615273
0.443469	-2.496260453765254
-0.096747	-2.5317416571174816
0.090524	-2.7629465026982003
0.329075	-2.354389789655165
0.393103	-2.301722312550821
0.585031	-2.4086248081081605
0.218173	-2.235763080205488
0.545985	-2.226892914173583
0.774010	-2.355272745449104
0.169535	-2.479805946010922
0.490426	-2.4156631098705845
0.242154	-2.3674642641338584
0.634295	-2.5601747223590214
0.454833	-2.285478388798985
0.459214	-2.733843081392859
0.169944	-2.4214358813150962
0.232571	-2.597907310864315
0.323409	-2.563043300670564
0.547118	-2.4327054371328214
0.288131	-2.4635349349847635
0.180317	-2.3680666067541334
0.395032	-2.407045229257479
0.453078	-2.143673727460999
0.477121	-2.495207890170205
0.388838	-2.361953584022652
0.106804	-2.695354695396178
0.562814	-2.5674784777069695
0.287334	-2.580146214386547
0.198765	-2.730079512668364
0.502830	-2.305783784147929
0.031485	-2.738945926649432
0.374356	-2.123544125122309
0.345113	-2.4479430733457495
0.116454	-2.816385049761195
0.168034	-2.4947255168013145
0.349552	-2.5901725444576122
0.053106	-2.5705738114251755
0.470093	-2.3718554393185696
0.691615	-2.229562032602541
0.592026	-2.482577339099586
0.249425	-2.455488149610037
0.199608	-2.2595548647667707
0.354790	-2.5684956126605902
0.101290	-2.789922070594103
0.604871	-2.311263234679816
0.080903	-2.4120105298167784
0.809914	-2.4543575239991764
0.144501	-2.7561518249944283
0.396592	-2.468698512213454
0.275813	-2.684917616060507
0.282298	-2.6312614431277783
0.391696	-1.9153240426331322
0.100483	-2.393777359443874
0.296862	-1.9341307205465714
0.806771	-2.591511248679111
0.154405	-2.2298249018158947
0.135356	-2.2799044373289035
0.266547	-2.5426574095150567
0.358162	-2.544796419681105
0.184726	-2.3321981050947787
0.680432	-2.385805400885555
0.440529	-2.1781543457297463
0.246797	-2.6404207767773844
0.483790	-2.4388196032631018
0.550176	-2.514648559239952
0.320686	-2.835809643766439
0.757977	-2.540887041669005
0.271053	-2.5627382393550895
0.267414	-2.43242204628495
0.369939	-2.3577379130792315
0.387250	-2.3352612578836944
0.289359	-2.5868315528775634
0.135816	-2.405741644147994
0.361082	-2.3619487613181342
0.482605	-2.3687381463974795
0.478216	-2.3820854224958024
0.602372	-2.4765322163336663
0.287408	-2.2790495186186654
0.167037	-2.206042178612795
0.225118	-2.6199155580243736
0.272664	-2.400291618510168
0.158916	-2.5936116149775446
0.482165	-2.430681875825083
0.391744	-2.1809052330211007
0.432650	-2.680951499177603
0.486920	-2.5249093396851503
0.144195	-2.571108997505471
0.148509	-2.6647944468262463
0.164599	-2.598894272212139
0.150078	-2.0992107832015754
0.393116	-2.3712563617983995
0.445386	-2.3392669007738967
-0.004695	-2.2412981537368792
0.436266	-2.2562182890496754
0.233741	-2.7030987757813487
0.457887	-2.2963833657326913
0.452738	-2.51971041625172
0.276146	-2.318437775669465
0.248694	-2.6575261918632065
0.250680	-2.205823320389849
0.457113	-2.550406259551502
0.543566	-2.898819343528778
0.433766	-2.4343366202840113
0.640513	-2.7201416083093872
0.357164	-2.6422531051685834
0.260805	-2.5277450857969446
0.496890	-2.269808185557347
0.609772	-2.360616764673252
0.232979	-2.732421832524649
0.352811	-2.5812576945250627
0.213176	-2.502201955907608
0.251308	-2.4579468263190964
0.239074	-2.1736569314597904
0.084220	-2.222144389726242
0.275036	-2.512190889690108
0.068736	-2.1805644904667645
0.460112	-2.4314015795539214
0.521320	-2.2681272089099322
0.212409	-2.0450001366280812
0.356029	-2.2315371062141423
0.535489	-2.5761760004309737
0.207710	-2.596931857205635
0.725292	-2.4605067416499304
0.467767	-2.423965207939331
0.304237	-2.5440329165214903
0.274437	-2.452378445354732
0.647136	-2.350654937611389
0.306840	-2.4359217042941887
0.339293	-2.5886366846721502
0.241635	-2.6973882149365904
0.129451	-2.4319726800232457
0.471408	-2.7286750632014183
0.361866	-2.6096031920368565
0.225349	-2.6344458321088142
0.271942	-2.5681596672942444
0.234667	-2.330741057472106
0.373152	-2.072158703333653
0.372385	-2.408635533789029
0.129162	-2.4436877486404307
0.266814	-2.6081806651373416
0.158803	-2.374568712604855
0.329645	-2.159022201277557
0.201994	-2.467133561525193
0.555275	-2.4692145422489444
0.473867	-2.3057167952107442
0.043743	-2.4884604785446527
0.193204	-2.208371774147165
0.117492	-2.668307741132805
0.385777	-2.6233978985059725
0.365186	-2.140652191283006
0.353879	-2.302401262657049
0.121489	-2.474206006235271
0.273495	-2.599017774699034
0.227604	-2.666352422836923
0.485176	-2.574394777311639
0.265992	-2.6959987102295226
0.358022	-2.0094982067648273
0.171466	-2.424595150597394
0.467736	-2.5292057075579684
0.166849	-2.2539074198982734
0.423120	-2.628747030113764
0.304726	-2.3824824802353093
0.226845	-2.4483219096203483
0.271535	-2.481804082301207
0.739803	-2.3523964119304033
0.512175	-2.0212247919680877
0.368226	-1.9960514866265815
0.241951	-2.5233559667708563
0.300266	-2.4262838445076165
0.425142	-2.6896286014423914
0.414881	-2.445410525729413
0.547525	-2.433918243721429
0.633126	-2.489365108019164
0.294150	-2.665813878121523
0.438948	-2.131839280064495
0.184149	-2.5266661174067813
0.327741	-2.5526122248985117
0.004365	-2.800861338011973
0.553710	-2.413320023124078
0.401379	-2.520037374526384
0.401609	-2.0729409970341877
0.522140	-2.5557634610186364
0.275195	-2.1432910116117494
0.159914	-2.5378558121066934
0.435025	-2.446542544590084
0.245010	-2.410780225805225
0.416340	-2.5164525329059475
0.265767	-2.031143466556638
0.312467	-2.418321555211853
0.223003	-2.1999313705542245
0.370413	-2.284353172318229
0.460185	-2.395877245718332
0.737138	-2.395557332989739
0.320073	-2.3756536837254467
0.060812	-2.6051953332701365
0.306164	-2.155044603484613
0.187273	-2.4541892057344583
0.510228	-2.5810909622280174
0.021718	-2.8386613909069496
0.460981	-2.5378188166985405
0.113721	-2.4648886787216377
0.171049	-2.841594655656589
0.325665	-2.493120109128499
0.088381	-2.572805976134034
0.173732	-2.151277892993794
0.256132	-2.2153975898324356
0.186291	-2.7955550489910137
0.163813	-2.621917895052802
0.079351	-2.6984723214046538
0.219766	-2.15654349030474
0.381065	-2.476551192205424
0.421668	-2.476583186075918
0.174997	-2.382456890465125
0.092749	-3.1304931448218216
0.314552	-2.5887996008813188
0.437503	-2.183147475653315
0.329814	-2.308661965078831
0.282906	-2.1611207211662133
0.091304	-2.352885840762333
0.236079	-2.5092599802274176
0.494068	-2.459906974945972
0.056458	-2.1612845863103463
0.391784	-2.3369978137702296
0.415525	-2.739106107969948
0.322606	-2.693884842319125
0.236473	-2.634388152655458
0.333123	-2.5677120365746084
0.220752	-2.6362163098225593
0.296623	-2.3248894267621827
0.251512	-2.642350252989761
0.260899	-2.652252753616173
0.273057	-2.420960081612532
0.788827	-2.249177183530407
0.205798	-2.3411006172138733
0.301778	-2.4601920548170435
0.281588	-2.5532304979728737
0.108155	-2.395388704920249
0.331648	-2.6643723658748364
0.193936	-2.307636198482923
0.477743	-2.1842699022428014
0.620028	-2.338853584939254
0.250769	-2.605383992379859
0.446779	-2.55759226556376
0.386299	-2.4038981409279776
0.432210	-2.7703976304680493
0.464185	-2.5342321387289535
0.504867	-2.791248064847606
0.352566	-2.3109742897883834
0.254714	-2.003008275057012
0.402913	-2.551319890748986
0.193360	-2.450501588403624
0.423104	-2.5022448099025425
0.271623	-2.5792322925262177
0.974506	-2.385050057085495
0.095849	-2.7581977647228633
0.488872	-2.40856815163488
-0.027800	-2.5194037802790255
0.479174	-2.4714685853324196
0.435855	-2.5905423557377447
0.228744	-2.418192184954345
0.149988	-2.6116481115945964
0.323055	-2.533934259585646
0.629862	-2.590898486982687
-0.014701	-2.7327496208506132
0.450349	-2.2163102835035273
0.316017	-2.142962531761546
0.354360	-2.777700940134454
0.490948	-2.4066904829971754
-0.082251	-2.3509448747081167
0.336793	-2.5423484733743957
0.482515	-2.4525276340817834
-0.069982	-2.829117338987377
0.303801	-2.401524197223042
0.304579	-2.197567456469161
0.374492	-2.3457140671465253
0.133981	-2.6304183929366856
0.419165	-2.26260945805782
0.249834	-2.6561425722969925
0.193703	-2.0875861753054434
-0.146899	-2.750741068252781
0.437371	-2.154533285930851
0.443001	-2.5091858149359676
0.024630	-2.4887481900644484
0.106986	-2.5716675274538945
0.230348	-2.7268174403980208
0.344196	-2.5922385070581746
0.702197	-2.518017296011159
0.364201	-2.535849855964519
0.192440	-2.5858038357325643
0.310173	-2.702905992973756
0.396289	-2.6640830082963496
0.371670	-2.6614064295951607
0.302111	-2.564143810548644
0.193772	-2.6725828354708776
0.370375	-2.6432961440542564
0.489946	-2.4505869595365626
0.349013	-2.312601682921818
0.450167	-2.341329724662925
0.403972	-2.5303895631981423
0.318668	-2.520768284261222
0.261890	-2.4409801008181433
0.530386	-2.452824114480799
0.191219	-2.578928895409653
0.343557	-2.2834231836021557
0.283128	-2.0923278852909077
0.050208	-2.560006412579917
0.588635	-2.4639044469229185
0.296253	-2.3866318201016496
0.439340	-2.581460753436095
0.444854	-2.700667563839667
0.428125	-2.175602151265724
0.593372	-2.3800717927561954
0.169343	-2.360922390288294
0.600685	-2.432938665225664
0.369659	-2.425333241260949
0.332930	-2.590964849991271
0.368753	-2.4075685323425597
0.036320	-2.621899498861408
0.164995	-2.4550723950684152
0.349058	-1.8594154853817237
0.575771	-2.310245861093381
0.256274	-2.4599819571970807
0.288886	-2.2756550829674964
0.357745	-2.492383877670804
-0.038515	-2.8414597925353613
0.599446	-2.487117449919049
0.390652	-2.311181965682158
0.200803	-2.613709656160087
0.647846	-2.5750230396401945
0.436144	-2.4498994305433865
0.234271	-2.2364448480506764
0.445529	-2.1657132954111513
0.164189	-2.36523392368274
-0.032381	-2.788352014988113
0.371680	-2.381328439894068
0.253328	-2.331933071103309
0.302610	-2.3953190127329615
0.417837	-2.6846641391186337
0.268384	-2.4405626907779863
0.441208	-2.4429316354050603
0.323870	-2.3551942829831547
-0.049986	-2.809410515529685
0.325637	-2.4426229679074627
0.518655	-2.601719660770382
0.371798	-2.589279085550146
0.091850	-2.5451940728701947
0.332756	-2.2686971754093683
0.739755	-2.6226242577008234
0.428392	-2.3612155234740992
0.438010	-2.2765615743260743
0.238101	-2.667058178255898
0.507223	-2.6372718452828168
0.429418	-2.375791000057536
0.244152	-2.39819467783206
0.555566	-2.4842181388333278
0.484428	-2.369074057890624
0.477457	-2.2696379701231324
0.372016	-2.4433892084505953
0.397661	-2.5707082232108194
0.076291	-2.3076512173798562
0.414294	-2.6002969428593925
0.536043	-2.5682225159289724
0.567599	-2.5071947222165276
0.433091	-2.2287379603842994
0.355606	-2.5691922116827497
0.200402	-2.3302083303224186
0.540028	-2.319934492005057
0.292383	-2.7063332857994666
0.378560	-2.5349734205912284
0.569043	-2.515836143503246
0.073556	-2.4623002087906913
0.461716	-2.0876558821894093
0.299769	-2.0900308545695716
0.354227	-2.5734436500247013
0.226407	-2.3776451571409654
0.129218	-2.5764280931393486
0.479993	-2.6653750273123324
0.139952	-2.507482488119806
0.212532	-2.672933546223145
0.380515	-2.428778084189372
0.185318	-2.431811534231385
0.401859	-2.530558368122119
0.597561	-2.448914431664832
0.537707	-2.4026281398077383
0.519767	-2.3097474802901985
0.258157	-2.792234590189304
0.424019	-2.492349101469552
0.419605	-2.4653129446415507
0.487437	-2.3925728558282064
0.187899	-2.053620055343842
0.135312	-2.6286674412950433
0.090663	-2.4973136347361065
0.202143	-2.5137646452008573
0.606746	-2.4889465665678263
0.201143	-2.5229391095165763
0.677853	-2.4405045368735103
0.347814	-2.718791071638428
0.223917	-2.244922775212389
0.240558	-2.623320205678709
0.471176	-2.5885309727388233
0.317635	-2.6263189145557426
0.764041	-2.2083689710763728
0.284572	-2.3457225153298285
0.418874	-2.1092369105147624
0.184673	-2.1517922787179793
0.282256	-2.155317406329266
0.327538	-2.609250603752783
0.039858	-2.756299587120608
0.346946	-2.366981691873056
0.417645	-2.454247970111798
0.119517	-2.528483243816429
0.397054	-2.1797800913853256
0.409972	-2.399935609903165
0.297383	-2.692906972101504
0.223975	-2.4222565586358575
0.561774	-2.272370934820381
0.410336	-2.381652452082152
0.186933	-2.7953991745508975
0.463557	-2.706323694562362
0.494573	-2.4640668759196855
0.202550	-2.46040025596637
0.317041	-2.734863543806428
0.394475	-2.5363466175572977
0.490654	-2.205110869059598
0.405388	-2.518417181352996
0.405974	-2.453188124781896
0.483995	-2.296735105312189
0.148121	-2.2840219083858657
0.247016	-2.190558450417147
0.391852	-2.609592948920366
0.307518	-2.5725438985668623
0.458693	-2.32979026860295
0.202255	-2.4967726301513116
0.251518	-2.5848961684821035
0.181417	-2.5286746907334146
0.642087	-2.1884939650700095
0.243667	-2.1252446369901223
0.610101	-2.2924152893666006
0.198146	-2.2319496862990365
0.427677	-2.3910333305713043
0.326054	-2.5090885020856244
0.138294	-2.65876756761471
0.316138	-2.173035619074646
0.327720	-2.5075172612799084
0.402617	-2.350273076344347
0.378560	-2.460265574097448
0.063939	-2.3761037359159145
0.422904	-2.606272822415789
0.279012	-2.5477769462895554
0.340631	-2.527926961558936
0.459958	-2.325057966466992
0.281454	-2.8302878225011945
0.333581	-2.551533779806621
0.382740	-2.062347487070209
0.274203	-2.6502709820296664
0.585371	-2.417854932711096
0.531625	-2.471051753710082
0.107308	-2.550307919552107
0.401532	-2.3167772701560194
0.309602	-2.6075850966602507
0.339596	-2.026860804344905
0.504698	-2.5251318306004573
0.351882	-2.7373308019841245
0.171342	-2.581351616962249
0.571848	-2.2889964131894733
0.387033	-2.700789833145487
0.278267	-2.6617329699558914
0.359589	-2.5228039219183294
0.319167	-2.4560637962440928
0.246060	-2.7741550228004876
0.626492	-2.4822624438350975
0.367419	-2.141055257722953
0.161535	-2.7296600043024815
0.236145	-2.4072187668182794
0.211131	-2.3320698210068973
0.238574	-2.5843619264622584
0.240211	-2.5071811641529984
0.092101	-2.836667110235602
0.335758	-2.39491614609801
0.208967	-2.575000169185402
0.411200	-2.530432928968547
0.414067	-2.527663397716866
0.466626	-2.475697524031709
0.436943	-2.5384276757155613
0.427796	-2.2062280060052224
0.271087	-2.3610270546130887
0.399394	-2.304907880120283
0.501324	-2.2876986434448052
0.458943	-2.5450605263803903
0.261054	-2.770448769409531
0.395740	-2.4774162600109326
0.113389	-2.3129012505210347
