DeepBind	NRLB
0.502069	-1.4970048870355819
1.375134	-1.339613219925809
1.063382	-0.9259017597961562
0.142032	-1.5102434230336559
0.068125	-1.4825958699322257
0.396971	-1.2420453406143472
-0.115365	-1.4598337009329632
0.604766	-1.6421425087526604
-0.336252	-1.5363900441274498
0.557479	-1.30347695720038
0.592785	-1.2947393605398883
-0.005624	-1.400802427607511
0.982823	-1.5153479552165972
0.849954	-1.7048623008697161
-0.053448	-1.4902946575696776
1.436896	-1.3237230535625697
-0.114363	-1.5785750977245414
-0.254854	-1.4403614322183362
0.557656	-1.5224254372649222
5.035215	-0.9611044228272358
0.847211	-0.9043988695222605
0.430310	-1.3917565529306213
0.697780	-1.4174147203066967
0.288919	-1.083705364498495
0.955112	-1.2125991231591855
1.888888	-1.3674798501914034
-0.386712	-1.693998407978854
1.148371	-1.1703607852304925
0.824246	-1.5525714675137052
0.406644	-1.6724935715961013
-0.207673	-1.585757956456869
-0.237871	-1.528458605591239
2.211501	-1.468899385267258
2.410733	-1.2420452982529657
2.853287	-1.2572524079037712
1.271520	-1.4279662268815587
-0.160781	-1.5071348293085476
-0.755251	-1.7612748257527937
0.342481	-1.2108685640687016
0.379406	-1.7213622552918595
0.672429	-1.669217551640694
0.058870	-1.6892114349748717
1.858644	-0.9320545881639937
-0.738423	-1.4124288225719313
0.543163	-1.2969068639285755
1.966122	-1.492082643130166
0.991913	-1.0984677198509651
-0.302869	-1.6657177247497876
2.079515	-0.9702082056470083
0.852481	-1.1378509922470401
5.652076	-1.0199439230553151
-0.218731	-1.5991914534394591
0.758860	-1.452189207314366
2.055044	-1.1601144755792245
0.339323	-1.509465589528928
0.626734	-1.455910171874813
-0.188589	-1.5127070071523137
1.056833	-1.334114354578311
1.310139	-0.9365827764119262
0.198466	-1.4207394312407848
-1.095244	-1.4518536428369393
1.543370	-1.3183523074057628
-1.143729	-1.5757535361933228
0.784102	-1.4181584013027027
-0.618235	-1.5744808287567118
-0.011042	-1.4799247707778957
-0.372225	-1.3160503072237006
2.179945	-1.259604946028327
0.993573	-1.3878295379777656
2.697596	-1.3836856295169702
0.339077	-1.47575799087616
0.707716	-1.4642030370448942
1.195114	-1.617972189804804
0.305114	-1.5001054667397173
2.350502	-1.1079367435086744
1.225901	-1.0871194402836566
0.570566	-1.0729718672423822
0.733728	-1.1482436051803768
1.241520	-1.453217946991175
0.755582	-1.5272892502335949
0.324553	-1.54037023787228
1.111918	-1.457178908819187
0.326962	-1.1305085214127675
0.930402	-1.352821769930271
-0.207488	-1.5796219728704355
1.018884	-0.96508358414551
0.927909	-1.5588713347725254
2.137001	-1.1931227064406906
0.887804	-1.6277961117977942
-0.471179	-1.1651360087766518
-0.175291	-1.4191840560352793
0.330400	-1.4781807886479466
0.119307	-1.3814432265781547
0.630360	-1.429580465223294
0.644398	-1.5593699768065286
0.119181	-1.5583762769334915
-0.984897	-1.5757235926997668
0.136346	-1.3948038085746373
-0.057501	-1.5688241709071538
0.691438	-1.6301069282501044
-0.273890	-1.6494981491988554
2.379785	-1.3634451498546845
0.338368	-1.3701523595679053
-0.182942	-1.4943717220542283
-0.319001	-1.5715022854796072
2.110394	-1.3012610137152687
0.850864	-1.2833626756890002
0.757832	-1.2510930713082238
0.057994	-1.5728899510717447
3.406142	-1.0494854982232564
1.470070	-1.5138615747675896
-0.014789	-1.5611896616374652
-1.029565	-1.5453280187045337
1.483242	-0.9426330856842841
-0.626794	-1.303263055111803
0.152635	-1.4822998702388999
0.908784	-1.6180011979607034
0.386912	-1.5993389550728605
-0.832763	-1.4744097297199559
-0.309016	-1.5126476377870415
1.523643	-1.5176406524434563
0.847538	-1.5604371106630894
1.025465	-1.3186958773497501
0.688487	-1.7606560180014421
0.192585	-1.5102068320167161
0.263153	-1.4032263426117764
-0.158361	-1.5759918584483075
0.133849	-1.1533560440171569
-0.340973	-1.3019854074911434
0.254966	-1.2021710499221125
0.412515	-1.3694693132899343
