DeepBind	NRLB
-0.250724	-4.200004315700717
0.508438	-4.414673712697813
0.207665	-4.248872039072109
-0.104786	-4.17051519452669
1.437661	-3.946140936124578
0.458552	-3.8141717154677077
0.357618	-3.9163565532347917
1.708872	-3.875881406746183
0.024978	-3.991620723274273
0.807451	-4.088729534610559
0.649059	-4.291936547969374
0.508672	-4.042218555051047
1.335080	-3.9683837703098765
1.457603	-3.831450519395623
1.485792	-4.133560090785107
0.410645	-4.474042464326332
0.333650	-4.01437338405549
1.476758	-3.844670225937551
0.304532	-4.098797404286546
0.263239	-3.9892752817088297
0.174162	-4.087012434353317
0.692488	-3.8818278666134636
0.530014	-3.9618064941424924
0.360156	-3.9938739337310794
1.734934	-4.148852681457579
0.589952	-4.154514406453218
2.435988	-4.005934489632771
0.993643	-4.102329261456974
-0.019209	-4.048335386145767
0.636233	-4.170219865931113
0.120248	-4.222036870242298
1.248819	-4.17258191425695
0.504644	-4.215658748575403
-0.164523	-4.1447182706027625
0.684766	-3.864683365980095
1.443606	-3.95348363189762
1.157563	-3.943468296808732
0.554869	-3.947250004479381
1.014357	-3.726451188816083
1.210878	-3.9974080335822366
0.596531	-4.099864002033248
0.329623	-4.020807345591402
0.636984	-4.118194800070119
1.214414	-3.9273948668791108
1.008805	-4.2373379018661055
0.443758	-3.9066678231633043
0.197333	-3.856613164533353
0.871709	-4.034259308447496
0.865317	-3.8419178403675303
2.554316	-3.778881549159686
1.285140	-4.31501650125643
-0.011454	-4.058765825088589
1.326109	-3.8766031918777637
-0.295496	-4.284974237807723
0.730132	-4.108028113494087
0.304347	-4.192683228380406
0.200471	-3.8218672816676613
0.040377	-3.967723520126365
0.657656	-3.9288665702335956
1.489548	-4.132386916867853
-0.029286	-3.8836217890660443
0.788228	-4.434726167868592
0.402365	-4.366635192057003
0.841601	-4.008835631385989
1.142300	-4.037756887698627
1.081069	-3.6142502337974816
0.830449	-4.154787374275931
0.450863	-4.300414585005317
0.656266	-4.001409124308523
0.566949	-4.0741305550376525
0.466054	-3.873119352818268
0.801547	-4.01250860000692
0.810321	-4.52291123324151
-0.168565	-4.135046107768684
0.686089	-4.2388856171643114
0.611306	-4.0529775517594695
0.460516	-3.9078736877175326
0.897708	-3.7738741537569
0.102021	-3.934675143904839
1.230716	-4.141568396153171
-0.049439	-4.390828141097612
0.506511	-3.934942369161899
0.837470	-3.906581284735913
0.475533	-4.3598085795102595
-0.096619	-4.248447265139818
0.102871	-4.170330446663642
1.511909	-4.229299907715177
0.088616	-4.26263066429163
0.062927	-4.15231632245417
0.498050	-4.195728308692893
1.721318	-4.239393680536471
0.723883	-3.963916216334529
0.569019	-4.352936034591114
0.369060	-4.161489987395159
0.201941	-4.1407412508530435
1.260540	-4.233069850737601
0.923053	-3.663595789102982
0.097586	-4.282335661482024
0.638417	-4.098133789982151
0.388599	-4.0061940263129285
-0.194516	-4.030443620910768
-0.475021	-4.127106294978326
1.512573	-4.140011953912038
1.852462	-3.89103720805509
0.443545	-4.098362939167178
0.725818	-4.053169936211455
1.333903	-4.015229300911015
0.775931	-4.158319350377191
0.697862	-4.366862737752764
1.280678	-3.99841098265682
1.425696	-3.777892203545495
2.151699	-3.8320548415476403
1.443688	-4.187908202615393
2.277312	-4.0327224387429315
0.198129	-4.286133623099845
0.525930	-4.099219265893523
-0.147369	-4.098363479442882
0.489123	-4.199449935524149
0.093009	-4.152748744363745
0.396264	-4.45471977404593
0.594676	-3.7689647585059447
1.243735	-4.172329724442076
1.525627	-4.086233414726446
0.658971	-3.9771520083492935
0.951440	-3.990628301136911
0.662653	-4.649419202318162
0.684234	-4.194654041316465
0.902467	-4.038365146048243
0.458253	-4.021031397009426
1.121123	-4.088239036356024
-0.168017	-3.9372689394010463
0.693135	-3.986098672855779
0.803307	-4.053446476666604
1.410729	-4.133905164224944
0.623120	-4.124117833598248
1.554442	-4.155341180377039
0.775784	-4.196146220658612
0.506572	-3.960403865588938
0.988989	-4.267416246521026
0.556020	-4.153401508412723
1.228612	-4.322148061650405
-0.439296	-4.2895831890114025
0.259386	-3.8701764774987293
0.687471	-4.040959582622115
0.546457	-4.024943383048963
2.090596	-3.3984004898628326
1.141290	-4.1445375683431855
0.385917	-4.208029842177301
0.546473	-3.9538714647730866
0.698130	-3.861993571009644
1.569811	-3.7687682973326226
0.125970	-4.156086256831045
0.066365	-4.173776528376919
