DeepBind	NRLB
-0.147259	-1.8866566000653753
0.027094	-1.939521940579052
-0.130351	-1.73684675857566
0.074878	-1.7200352221116901
0.005863	-1.825215688671988
0.077283	-1.7544369467452388
-0.089897	-1.9561809594100399
0.136335	-1.8020207756411424
-0.030555	-1.9092974344154288
0.062395	-1.959690111276734
-0.053174	-1.794428174322951
0.031345	-1.9361833617844058
-0.201619	-1.7636593692950921
-0.146844	-1.870016193946159
-0.007202	-1.9121763512124672
-0.127224	-2.006528537213289
-0.025201	-1.692781133979685
0.099964	-1.8408554297236002
0.248173	-1.7877417687123947
-0.002597	-1.9252509015148978
0.103979	-1.7245287167313568
-0.003666	-1.7418980049977413
-0.203894	-2.1307464799884714
0.036585	-2.029057346350258
0.039901	-1.7172424855855213
0.027857	-1.741168489430791
-0.090430	-1.9222598950403407
0.218961	-1.7898378632471696
-0.174644	-1.8645563447131845
0.068960	-1.7861367930174887
0.150991	-1.6958717422571452
-0.010067	-1.7710808173176356
0.023223	-1.8478246012644368
0.043895	-1.7721571878543347
0.034070	-1.9953740902507653
0.032357	-1.8610542488120367
0.139380	-1.8450832646893398
0.133706	-1.78305722532793
0.017010	-2.0771879501714
-0.096954	-1.9169442439042752
-0.081504	-1.7960431615426857
0.053054	-1.7579059728537272
0.003664	-1.9864073580994401
-0.257766	-2.0958007839105997
0.033365	-1.954639777402662
0.420475	-1.8572066682593094
-0.083766	-1.767519708559477
0.016703	-1.7315656787855098
0.276087	-1.9254168174934496
0.204355	-2.0861540028145815
-0.126898	-1.91976177695137
-0.077627	-1.990024057954944
0.022852	-1.85853875039562
0.024805	-1.9267846906208024
-0.158166	-1.832622093915923
0.125065	-2.007103798385401
-0.126272	-2.1534482500566083
0.025945	-1.9046279950180223
0.010389	-1.8914012908874673
0.103064	-1.8236884580851649
0.260697	-1.8755375668878609
0.043299	-1.7879123458513577
0.022449	-1.7670425412445592
0.041256	-1.9188791993103456
-0.158938	-1.7255161107897632
0.216202	-1.88227778661206
0.055166	-1.8266076165901752
0.026351	-1.8810416368018172
0.004075	-1.80027990788288
0.189586	-1.7074616862385494
0.125998	-1.7842932242520488
-0.046219	-1.8751750334639345
-0.088243	-1.8184556459165464
-0.074401	-2.0242720778715397
0.003440	-1.8103670227054305
0.071922	-1.8268707135765874
0.106177	-1.9989987655622152
-0.004652	-2.0290084673301383
-0.057721	-2.034399910218555
0.043312	-2.0029434893606624
-0.132375	-1.9620112851798308
0.197499	-1.8744355733855758
0.077001	-1.7242723884484898
-0.021035	-1.9005186993029015
0.287319	-1.7235002160043398
0.031818	-1.8888443685382115
-0.031949	-1.8635190335455574
0.154882	-1.8118826202490974
-0.090430	-1.7196416995219308
-0.060151	-1.8893641154314182
0.096411	-1.7509277518440471
0.022300	-1.7965862644296953
-0.049664	-1.9146556722420192
0.189630	-2.00959345329818
0.092944	-1.6991752610828947
0.019436	-2.009107977623024
-0.031728	-1.8260336992430282
0.063948	-1.85855435263588
0.120508	-1.7519752751388382
0.111510	-2.038466032152253
0.113153	-1.7251258932997966
-0.119863	-2.0583992854512205
-0.013089	-1.8039970701095809
0.208026	-1.7642379311497254
0.088087	-1.9847037008935893
-0.054368	-1.790627768886719
0.052980	-2.0528371498350437
-0.112055	-1.9211003787675969
0.118200	-1.9148991621283733
-0.109462	-1.9277977486242164
0.310782	-1.8598681455068389
-0.026215	-2.1133869148448214
0.177061	-1.7831762695454247
-0.076465	-1.8186051764686217
-0.084799	-1.829069370911635
0.223973	-1.8685940118310156
-0.057216	-1.8040538173571794
0.006563	-1.662350842917527
0.068705	-1.9409217743298968
0.082064	-1.9014088581334847
-0.080959	-1.8760586514245745
-0.001713	-1.7676462086393827
-0.116904	-1.8005553743094966
-0.063017	-1.8452850690467921
0.201321	-1.8875006621565245
-0.118468	-1.86833924779289
-0.006451	-1.885799260095019
-0.057133	-2.046315928335971
0.017892	-1.900897698279424
0.027323	-1.9512728506613042
0.090907	-2.0164211705530564
0.156208	-1.6622322010715382
0.280970	-1.9570503712983391
-0.038094	-1.9688891869603737
-0.090430	-2.15326241449124
0.042697	-1.7856595668348876
-0.110411	-1.9240823456472977
-0.152300	-2.1151436241173758
0.102369	-1.6667291550929824
-0.080677	-1.856327098302866
-0.062278	-1.859105228378526
0.099439	-1.8632748169596351
0.109997	-1.6914935070390051
-0.037253	-1.8923996608842744
0.277976	-1.80459787132726
0.052974	-1.835649095587656
0.079670	-1.7443185579246203
0.041687	-1.8097734130683505
-0.015874	-1.810327580572625
0.203026	-1.8261447041288312
0.018637	-1.7265280526226607
0.072104	-1.8393909383803198
0.035848	-1.9136908730672628
-0.153610	-1.9116822773438669
0.115700	-1.7156518102026874
-0.057556	-2.032413965345475
0.058588	-1.82783510015504
-0.120157	-2.0604270034171024
0.175225	-1.8107651688141484
0.179405	-1.797942797430351
-0.040777	-1.9755445957307154
-0.099226	-1.8168117306246396
-0.002282	-1.9220309166747596
-0.010572	-1.8085467616856539
-0.068143	-1.8603127807029152
-0.058702	-1.8107617986786848
0.037503	-1.8726894624690964
-0.164682	-1.9751466998650122
0.000287	-1.8197444698018737
-0.051813	-1.728261763345739
-0.264161	-1.8549605038040087
-0.101240	-1.8304932435837924
-0.171176	-1.8511321581979407
0.060026	-1.925980461193722
0.086436	-1.762082010069412
-0.035333	-1.7372203512769084
0.088868	-1.705497546439054
0.088640	-1.9601221360490437
-0.120863	-1.8985296186937584
0.248370	-2.080727965965481
0.010420	-1.8912824343157466
0.005458	-1.7251072290173934
0.208871	-1.9243506343067236
0.091534	-1.8011252381719327
-0.135137	-1.9088688540270953
-0.005050	-1.776998435092747
-0.090430	-1.9534148573090768
0.141271	-1.817684760934234
-0.038675	-1.8596291021107563
0.143975	-1.7811329511181568
0.018867	-1.7389142208779884
0.065305	-1.9042730456539811
0.009482	-1.8060583706842133
0.243676	-1.8754501956511784
-0.237311	-1.8883310243917375
0.012885	-2.0018734997745837
0.010707	-1.766359399170956
0.030203	-1.8026287638333853
-0.106221	-2.0089862025631176
0.303969	-1.7996288255056347
-0.009517	-1.7276880480869832
0.191938	-1.949359601907317
0.088698	-1.933303900921284
0.110267	-1.827840332779509
0.108104	-1.8071577628901339
-0.096810	-1.8300802573328843
-0.166720	-1.9546728230705799
0.064253	-1.7917801655119276
-0.015508	-1.9806477476662838
0.110134	-1.8224827546290228
0.121547	-1.905911980753847
0.145363	-1.9896884798351364
-0.095902	-1.9128196711552328
0.169850	-1.8421360959034498
0.087254	-1.571399327128852
-0.092914	-1.7824226882788443
0.178495	-1.6360126523915142
0.058402	-1.8994986584926596
0.036570	-1.9595061592204197
0.111785	-1.979049487675071
-0.047194	-1.7439002305871412
0.155224	-1.9120691286611131
0.085722	-1.8280440844949486
0.071257	-1.8008869383502826
-0.103283	-1.8554153149131876
0.148656	-1.7549572634249264
-0.044693	-1.834493690325313
-0.031222	-1.8037503613428159
0.251327	-1.7274778227187295
-0.048529	-1.8326204197969254
-0.115720	-1.8620836811621646
0.326085	-1.8684441017777051
-0.145810	-1.903890561487138
0.184439	-1.862045953182995
-0.014983	-1.9285849521962999
-0.019177	-1.9229580840254679
-0.070828	-1.9613029640417006
0.022032	-1.91652784662204
-0.013739	-1.9163707351938843
0.103858	-1.893001572830627
-0.090748	-1.7193955226054105
0.131218	-1.7693302847645083
0.083393	-1.7353603185049515
0.267520	-1.9379839354348838
0.042969	-1.9249338901725663
-0.063729	-2.000463065068581
-0.023003	-1.7572736137502056
-0.129576	-1.9779290269654848
-0.025921	-1.8826332127982328
0.029650	-1.8890754814750048
0.116026	-1.9083380963817018
0.197250	-1.8486614162415878
0.002454	-1.8942379067505966
-0.182252	-2.0264055101241585
-0.114012	-1.8467219374791297
-0.148560	-1.9663201816149072
-0.022724	-1.9496238985524714
-0.129288	-2.085740279854043
0.037826	-1.9141590059047542
0.252911	-1.8537034428575374
-0.018303	-1.9167631739715116
0.070572	-1.80697730510308
0.045323	-1.9208866150599853
0.234890	-1.7661937021945664
0.017951	-1.8811596010578788
0.262212	-1.820442141860145
0.258467	-1.7507450763456054
0.024527	-1.7316332264320256
0.072047	-1.9125368272406242
