DeepBind	NRLB
1.236495	-4.14398171623848
-0.144371	-4.356893547194033
0.252505	-4.410572672104583
0.829359	-4.774479697724992
-0.017334	-4.248651201298993
1.164446	-3.617936281576316
0.596153	-5.201212909803764
0.286565	-4.9016795243060205
0.277466	-4.146166096631876
0.025918	-4.659342207404399
0.349521	-4.3142440618781155
0.164162	-5.015683963907307
0.064462	-4.919804190755246
-0.291579	-4.091156198673454
0.270119	-5.138505526442403
0.433299	-5.504019483533592
0.112400	-5.2203652726603345
0.459802	-5.05099359704722
0.475593	-4.82477754672557
0.968768	-4.9374621126929465
0.992666	-5.4457102122409005
0.342108	-4.666171541315449
0.906395	-5.401581123095002
0.729937	-4.718375097124262
0.611654	-5.515233269473479
0.231540	-5.034330312616076
0.005800	-4.204380791293645
0.543019	-3.560275642311525
0.219743	-5.511792757641304
0.516424	-4.28017517190121
1.586600	-3.460491996183275
0.424203	-5.667277216832899
1.239630	-4.789132450025699
-0.265533	-4.062977685867546
0.384653	-5.301805661732278
0.429578	-3.131105647998721
0.279310	-4.934102439721762
1.190910	-4.377996724967994
0.757080	-5.119558012195132
0.079920	-5.279258522403009
-0.111016	-3.273576606227302
0.481269	-4.83930159537906
1.438953	-3.9461261612361564
0.086984	-4.624266234655222
0.236924	-4.869661476828669
0.256691	-4.079285467630855
0.313532	-5.189405736905414
0.749688	-5.579864873145761
-0.001392	-2.886189692027631
0.441950	-5.189250222540942
0.764474	-5.7059477315843505
0.194526	-4.664499454263257
0.360802	-4.836218198420239
0.685892	-5.577045036157028
-0.042682	-5.505952895290041
1.767696	-4.450157637403846
0.266221	-4.457727937282411
0.389138	-5.273402433106451
0.194410	-5.678885881071968
0.209257	-4.012682591553037
0.305339	-5.099878788240611
0.327010	-4.490295491027673
1.782036	-4.967720749089125
0.341872	-5.892135073110738
0.308453	-5.4368311865014425
0.308194	-4.649253411556057
-0.006553	-4.442866054483198
0.098256	-3.692324265486256
0.532928	-5.510556503109153
0.361005	-5.220247265875107
0.304892	-4.935055056572477
0.605685	-3.9679588925943228
0.221575	-4.309556542467759
-0.069327	-4.940430039619917
0.357926	-5.079508259582558
-0.020034	-5.171184894075476
0.605959	-5.5739511536866795
0.169537	-4.135103582701135
0.178709	-4.7566305138575435
-0.004340	-5.320881877288364
1.062977	-3.457817735242594
1.373341	-3.7933073148271808
-0.040037	-5.122076185648429
1.156871	-4.647132961213862
0.730667	-3.887444402791819
0.370882	-4.2266776662351235
0.742872	-4.790814335589635
0.277163	-4.261020795579644
0.057469	-4.552957134149096
-0.082186	-4.172231721876955
0.083311	-5.038205711156826
1.607674	-3.5430816803304137
0.640821	-3.5040787902535793
0.466110	-4.209445240510469
0.191511	-5.211298340210529
0.075500	-5.04229738571145
1.221517	-4.015656331412841
-0.678755	-4.753423136343364
0.300320	-5.45029620756685
0.317086	-5.180327132926027
-0.121292	-5.252343511065558
0.729891	-5.230682387450229
0.933118	-5.417709548263154
0.649584	-5.269590682344284
0.457372	-3.4687215728098466
-0.155954	-4.343154760879272
0.573417	-4.2854715930152
0.276070	-5.643672148437575
0.223040	-5.218390299869764
0.313123	-5.692698995265131
0.320393	-5.313849541509245
0.505973	-5.654721248018821
0.642747	-5.689754654499538
0.404810	-5.566804169435463
0.222526	-5.080088002054544
-0.149267	-4.980046784222111
0.259642	-5.023722189932635
0.885508	-5.074566023142633
-0.618878	-3.927248863964729
0.228618	-4.9159272191824925
1.592306	-3.8018214422322205
0.597802	-5.02889421641538
0.639308	-4.6777129920776295
0.531360	-3.1510760827684567
0.189251	-4.631994604927093
0.484104	-5.0404417694742865
0.435675	-4.526490781800853
0.060015	-4.9797791013373125
0.715519	-4.545418506198126
0.098518	-4.570391935426639
1.102583	-4.419039462566937
0.347233	-4.75976481290591
0.313883	-4.21073702348263
-0.096281	-4.729861198910608
1.389429	-3.80011909751259
0.241834	-5.184602053549987
0.510171	-5.0461549989172365
0.639870	-4.669245502094296
0.784324	-5.113322418949524
0.641070	-3.7466060630737235
0.655997	-5.178480412312519
-0.039965	-4.160925756958938
0.226243	-4.909425994176574
0.345412	-5.0724173083847
0.696722	-5.071174745892983
-0.070612	-4.807471459451887
0.120106	-4.656969617102925
0.302796	-5.4875873246934095
-0.857787	-4.238475766349146
0.627589	-5.531798745665679
0.234182	-5.258615277636801
0.381351	-4.940560510291745
0.802712	-5.309553801066228
0.092679	-5.035955731170163
0.474087	-4.32867715023556
0.398467	-5.180230094656209
0.857790	-5.440828601337935
0.019670	-4.995571515745506
0.448922	-5.264367329836745
1.416381	-4.332363567462453
0.160995	-5.074423679991265
1.082771	-4.027683427470432
0.702208	-5.627916200164437
0.243763	-5.094939705555438
-0.296279	-4.165945721930709
-0.050523	-4.2726308285737336
0.154487	-4.336865938608823
2.878543	-3.7972411872904392
0.051764	-4.4417550635653615
0.502051	-4.954884527037157
1.404866	-4.448070511341946
0.547938	-4.364969040542867
0.072700	-4.934819710373627
0.007520	-4.821985060157962
-0.100359	-4.701704425313737
0.419785	-4.040373026822437
0.174582	-5.167767424729507
0.360519	-4.750878343131188
0.932102	-4.323449886866849
0.524387	-5.35460217876537
-0.121273	-4.577890700037657
1.141943	-4.050805786965157
-0.054369	-5.389554744180568
0.243427	-4.365390538536796
0.077210	-4.7198427509545295
0.173538	-4.551965851361822
0.309326	-5.159441282489952
0.958729	-4.895406381489838
0.559716	-5.359982695381491
0.641673	-4.724472527461632
0.136041	-5.613299731603187
-0.247960	-4.508431045460318
0.464534	-5.514462892277561
-0.066572	-3.4725579580586916
0.192418	-5.0685635346454605
0.120435	-4.565002568652729
0.746879	-5.428416961658126
0.751076	-5.5137335232385825
0.306020	-4.266252460919
-0.002961	-4.885556803233726
0.026655	-5.071658720055518
0.768119	-5.384764959562984
0.166062	-5.1185323962380345
0.542826	-3.506821209007167
0.221110	-5.1256690130152744
0.154926	-3.2421453130470805
0.320380	-3.9746813871865525
0.425453	-5.488651472652785
0.673373	-5.206923404311559
0.398124	-4.814759300433089
0.458834	-5.764052055893
0.836378	-5.591524532244896
0.316506	-4.7490865654443715
0.316756	-4.984194514320832
0.352682	-4.998142959419008
0.450837	-4.760193783173506
0.667370	-5.611319679038834
-0.028202	-4.276711138467483
-0.025491	-5.426609388741741
0.385388	-4.028164279229754
0.241653	-5.413626598309007
0.293463	-5.639124357264528
1.097180	-3.174267555256147
0.228639	-5.075943470455011
0.150970	-5.252613217913449
0.565863	-5.191405322034956
0.799612	-4.818783309793356
0.531164	-4.969503865187493
0.352747	-5.1930990668005546
0.262537	-5.526783991684665
0.402179	-5.548041364500203
0.854508	-3.4851361216823427
0.354127	-4.393332271014069
0.468092	-4.173722733803451
0.277647	-5.37821360484019
0.677272	-3.6143113790020673
0.440252	-5.59465471679135
-0.137987	-4.993147798325163
0.459116	-4.9660562983087
0.880576	-4.523405888100168
1.128726	-4.442942763136937
0.753216	-5.526060237752849
-0.129277	-4.00712256639254
