DeepBind	NRLB
0.191999	-3.5227131690448252
0.314954	-3.574751358477753
0.209383	-3.57272523933649
0.181440	-3.59666537421487
0.158122	-3.727154487886058
0.155715	-3.1514888183229433
0.235751	-3.4195038247815375
0.180999	-2.9801026730287665
0.128641	-3.3171695528045
0.254090	-3.6054613139165608
0.149798	-3.338421565896196
0.258233	-3.154306612518804
0.277912	-3.6743801974359673
0.223915	-3.680134066180525
0.169401	-3.2224457159054567
0.188848	-3.9549297916567587
0.285984	-3.64355751756479
0.187909	-3.5226231529710854
0.186958	-3.484963958855745
0.344621	-3.172442165055936
0.475408	-3.5911320466616403
0.294212	-3.096490062104832
0.153427	-3.2163237902115194
0.188503	-3.883519113357519
0.304015	-3.507888654525785
0.436065	-3.612762632353257
0.170085	-3.473420714063983
0.295513	-3.9870598938872766
0.088115	-3.5055169352930884
0.331979	-3.715679202004314
0.181861	-2.486652586403076
0.322026	-3.398659199477978
0.333654	-3.407844207011053
0.139386	-3.615797197084639
0.376003	-2.9163049990618695
0.189569	-3.7301503745218136
0.354306	-3.8938149870035423
0.166388	-3.6698526866967534
0.220443	-3.5714519928343935
0.360898	-3.4913195856752126
0.236103	-3.6662286869281155
0.264992	-3.40064237979042
0.562485	-3.3874403020552943
0.209244	-3.6479277529394802
0.133581	-3.277886349434891
0.246995	-3.1480049841325446
0.185692	-3.9408543413171917
0.127618	-3.4001648214338767
0.215666	-3.405681692993045
0.252065	-3.185842073546861
0.288397	-2.414295263739821
0.126763	-3.654005412401642
0.168778	-3.5488074620046635
0.259970	-3.395185510544158
0.221025	-3.0672399165960496
0.248418	-3.7484645205319818
0.247978	-3.622425600900765
0.171076	-3.4895797468195857
0.011282	-3.7479690892162507
0.205655	-2.6114507485403333
0.240785	-3.151784007974969
0.257576	-3.737844333763921
0.244429	-3.3409832358450795
0.751935	-3.036699025734194
0.311361	-3.4659533875593582
0.157768	-3.7016020416331856
0.340911	-3.1200703282780613
0.395467	-3.5086494547071214
0.306958	-3.7064110494164964
0.306712	-3.4290710399552413
0.402570	-3.4169452297162026
0.047291	-3.892033764716052
0.318248	-3.4643475105327717
0.464396	-3.613838062432139
0.539757	-3.4581773093318318
0.500327	-3.57145781536042
0.144275	-3.442899607966484
0.290466	-3.3891217128651276
0.178031	-3.3961953490651515
0.286067	-3.4289675339870223
0.123682	-3.4964629963263176
0.228777	-3.8137465373215074
0.088889	-3.4321440900026587
0.306908	-3.3168637920147317
0.231583	-3.156774960389144
0.244434	-3.2842814127895417
0.196387	-3.659244530191535
0.190325	-3.446029379073211
0.462378	-3.5794976795377025
0.306564	-2.7850712630477514
0.214557	-3.354862571101881
0.112099	-3.7718932560324143
0.245910	-3.5620659853041308
0.130112	-3.8067686616069984
0.465657	-3.352941894231085
0.187850	-3.4677457226091493
0.254636	-3.6044385723039882
0.228291	-3.925343195705518
0.182629	-4.066857025165625
0.250117	-3.5972275165583696
0.130359	-3.4313383821350545
0.118490	-3.6886486560028104
0.266947	-3.1583882910392833
0.146764	-3.530652967770115
0.396209	-3.586965404224534
0.199057	-3.20501854142302
0.201143	-3.004366858693514
0.218244	-3.899459859522623
0.286540	-3.411559418800634
0.129652	-3.9206260452179262
0.330287	-3.685286816360567
0.343001	-3.488501112675609
0.221832	-3.407848709309111
0.062041	-3.7680093305496847
0.160758	-3.7281749028948052
0.353943	-2.983548380315164
0.143046	-3.674539713085154
0.082293	-3.801829704834739
0.100386	-3.358223869089193
0.085581	-3.669779640186319
0.161974	-3.787468765391747
0.240226	-3.5377711241164222
0.085933	-3.6983893856728343
0.632425	-3.5691260090673613
0.273269	-2.9209184811946645
0.159488	-3.3538608817118636
0.207402	-3.7515601314264813
0.366163	-3.4032817796871924
0.289898	-3.485511109289092
0.017015	-3.8047078087741975
0.617248	-3.5706759291084857
0.289127	-3.0134885482012423
0.256977	-3.365356332441517
0.125712	-3.7995270950815416
-0.018516	-3.3068216288049546
0.341954	-3.227714750207193
0.029383	-3.4919365340371873
0.167926	-3.7221994023050504
0.227825	-3.5468028864683823
0.112970	-3.6266997035256923
0.023855	-3.541653232198193
0.386600	-3.6015052404533603
0.205763	-3.5369406499092855
0.425969	-3.579531417891321
0.312458	-3.8066107772933866
0.150659	-3.9355178673093363
0.404222	-3.4149727535111194
0.673754	-3.4099490064285516
0.330371	-3.43943134514654
0.279089	-3.9913243793989768
0.513612	-3.6314534370938554
0.238714	-3.843016790356234
0.231603	-3.1126481715143295
0.135199	-3.9586952401175517
0.234532	-3.5441134953118185
0.173958	-3.1386603466358225
0.213103	-3.5719157479943933
0.251669	-3.1584331383277675
0.297454	-3.852022290652512
0.390743	-3.3328833411611796
0.493143	-3.3283325104221224
0.332258	-3.458911384906944
0.162593	-3.9644713523802757
0.253599	-3.7672580803149898
0.084811	-3.2801261096091605
0.306066	-3.6244775756839966
0.009045	-3.585078910847071
0.234335	-3.5338727998739676
0.122096	-3.8081989153922953
0.142551	-3.533714283632718
