DeepBind	NRLB
0.543613	-11.765558886288876
0.168987	-11.30983458552054
0.472636	-11.342480898319383
0.422847	-11.707129446863988
0.644486	-12.036640722854266
0.848620	-11.780065319380045
0.711988	-12.501757380173034
1.357465	-11.82941244420335
0.698812	-12.140745610471706
0.516734	-11.597299567805916
0.545818	-11.8326507749211
-0.166383	-12.526460736230922
0.686696	-11.197812918632758
1.122234	-11.286904305181949
-0.047237	-11.618884812870073
0.160794	-11.400684039210503
0.374205	-11.891719328095144
0.672243	-12.526898589282487
1.179637	-11.71022933537103
0.583244	-11.602338460126337
0.552384	-11.907502852295224
0.607919	-12.302448552443757
0.631447	-10.631585370146388
0.040213	-11.579638986065767
0.669435	-11.211288368457694
0.788559	-11.237947062792305
0.609525	-11.985504938485027
0.704727	-11.918179971670055
0.144397	-11.784055596783071
0.162798	-11.850451598943001
0.458945	-12.089692627465329
0.837436	-12.478890282482475
0.207652	-11.901603242242855
0.770573	-11.659980590848283
0.379885	-11.544919246627455
0.317423	-12.03146577869068
0.524118	-12.264751102410273
0.443250	-11.62242211838744
0.349960	-12.242427143287415
0.609205	-11.82119598936838
0.710557	-11.646225314255718
0.503694	-11.645844550586585
0.065725	-12.135388010371015
0.538258	-11.75877728122485
0.489663	-11.031882569320514
0.366193	-11.989952663996213
0.580078	-12.659014016003692
0.228289	-11.874438450143264
0.753694	-11.518899455194276
0.101276	-12.512160557951088
0.680026	-12.222061934168785
0.550319	-11.852190714041523
0.686041	-12.286207009352093
0.724636	-11.85652600363835
0.481248	-11.65495502468771
0.572811	-12.605331400985483
0.619231	-12.361621152576479
0.879569	-11.744325558475785
0.966790	-11.39540107912836
0.639892	-11.184462420246165
0.459738	-12.063116559230426
0.634412	-12.042960712574908
0.122052	-11.394632391281233
2.438164	-9.932020939860816
0.423889	-11.139766745647664
0.134626	-12.251146642197646
0.457495	-11.607352476402554
0.290030	-12.432348384645362
1.530224	-12.412114067960603
0.352637	-11.733111785089124
0.443769	-11.947370958862374
0.954856	-11.23749931301648
0.106203	-11.352720726029375
0.853502	-11.527102549153271
0.510181	-12.27522652601771
0.155793	-12.400599662636903
0.333065	-11.165760476211858
1.010728	-11.019210060927708
0.523060	-12.206617616480425
0.285951	-12.211041854614475
1.672607	-12.59864967900623
0.594528	-12.291171957356452
0.747883	-11.359132148899079
0.300775	-11.938261361464262
0.640963	-12.13125431634161
0.177857	-12.603394822707477
0.736883	-11.418328981656648
0.260310	-11.43333632613698
1.005302	-11.848890737515552
1.518002	-10.480967417121574
0.513352	-12.149442056599872
0.533307	-11.61341664117596
0.125444	-11.924814649053644
0.727044	-12.000241951085826
0.439436	-11.74858397722785
-0.177229	-12.052154323680647
0.507848	-11.776083692689252
0.443089	-12.603802683195003
0.319185	-12.07561595632
0.531997	-12.178797381327579
0.498229	-11.458823692806108
0.771209	-11.788130287624186
0.153046	-11.6625414976319
1.432381	-10.981167456483945
0.434772	-11.97370379582225
0.197554	-12.227674462879108
0.745610	-12.598735908253875
0.335061	-12.842784388135517
0.215240	-10.774692411105342
0.335946	-11.591728907712847
0.588111	-11.101064391186005
0.350448	-11.961077978847777
0.670374	-12.073610821933391
0.799869	-11.369010296929362
0.562523	-11.736728468831396
1.467389	-11.98119293103062
0.611103	-11.296383192421489
1.026821	-11.899687236633712
0.822852	-12.154123608533139
0.165709	-10.418798449054256
0.373002	-12.071887304857338
0.763482	-11.763238858688796
0.734219	-12.037844384537248
1.262909	-11.738404978589143
0.436149	-11.99730161844377
0.450564	-11.463804071425438
0.117915	-12.26565466313396
0.583360	-11.860898178549792
0.478109	-12.28437977222001
0.674518	-12.151603847921708
0.576658	-11.92030446793983
0.244797	-12.528614496196852
1.574287	-11.201133972570606
0.268573	-11.670932400613996
0.461299	-11.154592484171447
0.264572	-11.229098390867543
0.558994	-11.901926518766782
0.725897	-11.887803952893123
0.081023	-12.06040215534045
0.388017	-11.675536840883066
0.715792	-12.44115946429843
0.531809	-11.931926733462236
0.615171	-12.175575380056328
0.242695	-13.0468889908302
0.581707	-11.267414916047223
0.330519	-12.520009332953036
0.734363	-11.570564457011399
1.067968	-11.807112829283758
0.155872	-11.465671397515989
0.575716	-11.010583783249077
0.593351	-11.71148433456337
0.808419	-12.316996172885885
0.549530	-12.374528798285596
0.598761	-11.618822941525394
0.456604	-11.496362515658207
0.557934	-11.1701671736814
0.398757	-12.019926946808594
0.657627	-11.373872264351531
0.602908	-11.447113688867326
0.864985	-11.49859710992557
2.718673	-9.793767308527421
2.204411	-12.112152592276775
0.221441	-11.982520428223312
1.004972	-11.87448331546315
0.503124	-11.140772426760707
0.356308	-12.515332486688052
0.088189	-11.611040228492776
0.366079	-12.102123394694413
0.319564	-11.803146162012258
0.073341	-11.96951098990246
1.191095	-11.49821780466279
0.626993	-11.754592664707118
0.245003	-12.757488254710765
0.408688	-12.413564294572799
0.892392	-11.131974560877785
0.493570	-11.763889551667758
0.463423	-11.998174294304038
0.468759	-12.292130135690533
0.563494	-11.060298664595246
0.253966	-11.736691165493909
0.634341	-11.915458855987826
0.390432	-12.248724276694919
0.769137	-12.826564461850635
0.420077	-11.578683052508804
0.900830	-12.170159408765414
0.580589	-11.730329657596323
0.603409	-11.271084651376313
0.332758	-12.332999714756205
0.885467	-12.08472371254029
0.624432	-11.983301994417081
0.287461	-12.436398081812799
0.843897	-11.401002913918132
0.385147	-11.213730523649955
0.338806	-12.107505464344836
1.031249	-11.714343110980689
0.711009	-11.515253428428338
0.456077	-11.328317793326093
0.318229	-11.995289897674533
0.329819	-11.377509884673675
0.668469	-11.587240382293926
0.597116	-11.34872412953992
0.096318	-11.857374252943192
0.512638	-11.273600910974546
0.359225	-12.487638165659323
0.403173	-11.862363319461894
0.730679	-12.468020031821847
0.414537	-12.4553267529995
0.233553	-11.416267028687846
0.669195	-8.7066915861637
0.490530	-11.34986117202264
0.421082	-12.185889816963142
0.858934	-11.70732535177417
-0.441793	-12.274702920995905
0.520125	-11.610135520342144
0.580702	-11.575537118638465
0.688564	-11.331220373341397
0.247193	-11.248334112745868
0.815193	-12.678814505851145
0.179320	-11.618161202115848
0.612485	-11.296807832673354
0.008040	-12.622051034694445
0.343455	-12.134090670034427
0.335332	-12.126588449206345
0.324405	-11.751447811872186
0.937298	-12.83268468503243
0.501800	-11.723093736795894
0.942353	-11.371722481968252
0.487834	-12.002621293552004
0.626669	-11.887204511596781
0.405450	-12.28643532713181
0.487872	-12.959927867624756
0.817151	-11.55890990303071
0.570287	-11.368724033760648
0.222771	-11.768706940949194
1.089646	-11.672186575809091
0.562649	-11.232433323224177
0.561921	-12.37851252295404
0.649536	-11.743807116378717
0.727530	-11.767442572976906
0.249184	-12.850284737284722
0.504436	-11.677459205162997
0.049311	-12.183938796380582
0.732209	-11.816049767767586
0.158503	-12.323975526430306
0.297484	-11.83795880045446
0.295186	-11.123076089538463
0.881929	-10.965162279954829
0.101511	-11.73388973720838
0.503795	-11.689185120004646
0.562438	-11.507340706809018
0.637269	-12.192167194606341
0.523676	-12.185341513019305
0.194950	-11.836339397402288
0.323011	-12.095377129790302
0.836132	-11.42947358692101
0.890109	-12.20191272202484
0.641116	-11.529750530551887
0.322687	-12.272135809946485
0.580349	-12.144761263889254
0.508592	-11.621607833934924
0.625561	-12.31230069987967
1.275594	-11.557027991747873
1.019124	-11.809481975329994
0.429089	-11.436788541479764
0.634565	-11.912535333151295
0.116205	-11.194410069908148
0.371690	-12.449838548638063
0.225744	-12.436919853240257
0.579493	-11.645834756353622
0.047195	-12.632105450771457
1.797612	-11.099078543689451
0.556260	-12.439266980361632
0.293587	-12.295291710032597
0.054387	-11.380956788715704
0.246226	-11.278550847956756
0.763050	-11.628868826276978
0.747096	-11.378494351614897
0.289139	-12.724928592093505
0.493229	-11.664055381993562
0.650056	-12.189468725585735
0.534683	-12.428712337466008
0.637142	-12.141468229757066
0.745185	-11.799125264364372
1.335721	-10.737968051292379
0.201247	-11.73974882054304
0.224824	-11.737348921699201
0.329798	-12.031715992376512
0.736911	-11.857258056136493
-0.043036	-12.465889282611457
1.107175	-12.424069190862646
0.426748	-12.44385083671174
0.399787	-11.866666402126327
0.390699	-10.471621467109777
0.636556	-11.457311621868206
0.574911	-11.179553940190523
0.449647	-11.92004387787606
0.779720	-11.950079895467548
0.488096	-10.592216752357658
0.381218	-11.757800189056487
0.474085	-11.781744923241824
0.777127	-9.322245899971037
0.181910	-12.789879610427782
1.266649	-12.086504505236471
0.798996	-12.2573566731326
0.370342	-12.15969907316666
0.288877	-11.134440877889027
0.292577	-11.664901469550937
0.543193	-11.491834903025302
0.742855	-12.280803642483226
0.379460	-11.534214184932354
0.307470	-12.05604760811209
0.603275	-12.004117781316209
0.268200	-11.988049075381005
0.239920	-11.815944672250158
0.678005	-11.98683994734114
-0.052510	-12.025425670453652
0.494626	-11.559823204778683
0.705097	-11.908520181214456
0.404003	-11.82004560274468
0.544070	-11.30366799824063
0.476492	-11.660890864890032
0.616575	-11.502448370049281
0.283295	-12.19029593886558
0.609863	-12.34135679435467
0.812327	-11.584205488783205
1.106940	-11.85773063929434
0.220863	-11.78230683009516
0.776940	-11.330116002437531
0.525438	-12.244241387259597
0.708247	-12.397282729114469
0.654508	-11.883590335132054
0.465278	-11.569828092383666
0.245589	-12.108746610957017
0.689139	-11.36207139116259
0.723584	-11.5810144324424
0.930255	-12.339080301496669
0.053047	-12.858140356643231
0.138777	-12.341739319899318
0.489893	-11.740371109527558
0.553524	-11.983088477900376
0.384489	-11.399758419432558
0.751286	-10.737673554678905
0.237093	-12.044414180398464
0.619081	-11.514576538807193
0.677159	-10.993513481127001
0.914773	-11.070791892266255
0.485826	-11.595087960014487
1.349295	-11.753043245259493
0.049501	-12.646622018105209
0.858257	-11.213353012956183
0.367525	-12.525871848003769
0.769754	-10.880121639861969
-0.196799	-12.031577528957024
0.795656	-11.781618857219103
0.852772	-11.190119668366417
0.555353	-11.365374163812543
1.103659	-12.110915248898523
0.737266	-11.9114986087266
0.071626	-11.195233121544602
0.457066	-11.46595008935309
0.793562	-11.222789391796015
-0.045403	-12.136104614233922
0.175778	-11.763366177921133
0.598472	-11.766650030476546
0.789534	-11.609898270602073
0.715719	-11.741653717665319
0.622591	-11.37089171570758
0.335543	-12.306268239530876
0.437457	-11.578218329782619
0.725899	-12.709462128748596
0.493495	-12.659462983106726
0.519030	-12.004875224433771
0.524257	-12.202881363352516
0.210751	-11.105068080296121
0.460765	-12.249770428589061
0.314245	-12.415291165239047
0.820459	-12.288876479426667
0.321363	-11.971017633554347
