DeepBind	NRLB
-0.498983	-1.6443752349393224
-0.126287	-1.8058921374735373
-0.247076	-1.4912132119084252
0.000187	-1.6939394103975602
-0.242592	-1.7768881043920297
-0.356206	-1.8320950872508333
2.111169	-1.3945714290479647
0.438445	-1.5855891989476527
-0.513978	-1.944116232091329
-0.313203	-1.7997644874505807
0.924281	-1.6298846074404756
0.226787	-1.6270557302037678
-0.249179	-1.7400869281493805
0.070140	-1.9687317334297847
0.108278	-1.77164590820095
-0.339595	-1.894516520207699
0.471020	-1.8644307979655217
0.061959	-1.7383692235951613
-0.056138	-1.7272919364158015
-0.124838	-1.7769335100712826
-0.238892	-1.8213763733369854
-0.095858	-1.8494246698685732
0.255704	-1.6727056636934952
0.560011	-1.8548573514050775
0.157046	-1.9228694258516623
1.477433	-1.6521608265619316
0.926028	-1.555205907255132
0.404418	-1.6474858440050202
-0.340230	-1.9189018607099595
0.459107	-1.9799624747230877
0.442198	-1.743487278311891
1.110478	-1.6309537788831485
-0.238295	-1.7600556944031047
0.096986	-1.796628985185705
0.243037	-1.9080503164410558
0.536739	-1.8040225690206433
0.985058	-1.8573192856986518
-0.429585	-1.7709467774193826
-0.063670	-1.7732141869958362
-0.049458	-1.6843745111756585
1.655814	-1.8654209144479694
-0.335512	-1.8144534233854943
-0.352855	-1.6712728140024007
0.031994	-1.643315369347928
-0.607071	-1.4834147674373406
0.110595	-1.686563547995657
-0.183506	-1.5639083766593185
0.351519	-1.8129442589281168
0.081809	-1.6379540900803835
-0.086083	-1.7040670732214733
0.236346	-1.5946157524717086
0.065979	-1.742295400123079
0.562381	-1.7239709143487216
0.108670	-1.882825258947841
0.071352	-1.6450443239283044
0.386710	-1.6948161955945193
0.347153	-1.7170436410486947
-0.038842	-1.6442875859865844
0.774106	-1.771855631244319
1.524786	-1.6508323473644433
-0.070024	-1.6095717692905822
-0.363973	-1.7696800400054673
-0.244522	-1.7255449783204917
-0.090174	-1.7862636315046179
-0.023369	-1.7602515677468256
-0.076326	-1.8414182918889244
-0.035832	-1.9657562132222384
0.904706	-1.619120965968068
-0.137360	-1.861831091937672
-0.515731	-1.7929795628303704
-0.361971	-1.598503823452333
-0.447438	-1.9229580199982788
0.169624	-1.9597744577155918
-0.215089	-1.8523496846095022
-0.171859	-1.835351624327686
0.684476	-1.9558233134323275
-0.180239	-1.6694562892777083
-0.347900	-1.7939660527808405
-0.407005	-1.9246300855899066
-0.103608	-1.8316086862052248
