DeepBind	NRLB
0.234637	-3.60557900326372
0.231897	-3.807679030932738
0.247554	-3.7914796436888976
0.204903	-4.104504829057834
-0.052556	-3.776651699255928
0.171146	-3.5060948059105006
0.017986	-4.052548176013984
0.355536	-3.4675767064517653
0.104276	-3.22047434124639
0.069967	-3.5148333341056484
0.043295	-3.4594758603055786
0.165048	-3.9333231867254415
0.306518	-3.9592195775317056
0.089679	-3.49073800199616
0.152599	-4.43890381615326
0.243552	-3.6160344222337377
0.673782	-3.751402660727335
0.042716	-3.768016855741132
0.074140	-2.9151687773198383
0.255937	-4.015536899868489
0.041294	-4.0431444925337425
0.080395	-3.9627416952316152
0.123372	-4.17182493914951
-0.005779	-4.323299445645859
0.008057	-2.5369604518599336
0.072161	-4.005404220335905
0.182507	-4.061886104527208
0.119525	-4.513262755051523
0.086837	-3.725652056077722
0.128812	-4.0154222673186215
0.102730	-4.382577178750224
0.345053	-3.669933059523896
-0.041289	-4.235187375966451
0.341345	-3.5623342973061587
0.217554	-4.2154649347152
0.471941	-2.7541166107537043
0.095448	-3.735573149614801
0.184126	-3.2387488975866163
0.016180	-3.2492259442568625
0.048868	-3.701111605994733
-0.035034	-2.6915549561556262
-0.091185	-4.153567552452779
0.270191	-3.9596790203879944
0.141909	-4.225618416862324
0.256944	-3.930142240984817
0.430568	-3.5741863420723927
-0.017889	-3.8752819155962155
0.007164	-3.375072336425473
0.316929	-3.3701899980391263
0.587279	-3.485799373564161
0.188112	-3.4601197755541206
0.239132	-3.5545598041539486
0.199985	-3.593188538646368
0.306005	-4.158571602876778
0.047157	-3.6611167007145604
0.085037	-3.988091296187407
0.028150	-4.164760916462754
0.193510	-3.911514486586219
0.051038	-4.16966295261149
0.209427	-3.13913599101298
-0.000188	-3.8951283855898833
0.151752	-3.6869169774392025
0.099775	-4.3127234996336625
0.172664	-3.4673938991811997
0.148540	-3.4687154284944257
0.181640	-4.204507020484473
0.188401	-3.183992801468279
-0.018616	-3.346985006444484
0.307121	-2.7681854665708037
0.297283	-4.029263031045894
-0.024810	-4.2027398404947975
0.044956	-3.132894351018603
0.180468	-3.920138822256044
-0.071825	-4.332855115891299
0.197848	-3.929526033738532
0.020560	-3.615658879852826
0.155803	-3.804375123277496
0.010309	-2.6484112988217055
0.135641	-3.2010015523415296
0.268990	-2.393802126408963
0.024954	-3.3459285563976535
-0.025074	-1.7685750754031058
0.154645	-3.247071419167027
0.266130	-3.8194353034239827
-0.136303	-3.8996244798747317
0.164365	-4.107127244328077
-0.024752	-4.544716231089766
0.022369	-3.8992132287071226
0.111067	-3.934998940592944
0.367318	-2.867505757996775
0.194930	-3.7413258817117336
0.084289	-3.4441893401220467
0.194082	-4.285529653967574
0.086710	-3.5976833102923487
-0.005104	-4.2407131768187725
-0.097639	-3.2489488559539095
0.346298	-4.086521394106891
0.088528	-2.7688245368240607
-0.026201	-3.839204305623039
0.148099	-3.362617852205542
0.151045	-4.082966071829323
0.199630	-3.4125564732439377
0.157881	-3.54804226974024
0.089350	-3.9268231595585816
0.048978	-3.7491447619763805
0.142116	-3.334130291991859
0.460407	-3.884352981177533
0.142426	-3.985293321944986
0.028787	-4.167099659583872
0.254752	-4.030608827027377
0.290383	-3.7133981486941425
0.173669	-3.0215894136290715
0.160242	-3.116142021169486
0.103141	-3.5671555200892904
0.221735	-4.153382251242152
0.176192	-3.5889251591801723
-0.002198	-3.913109394209083
0.162770	-3.2027571295547785
0.074382	-3.4740978332998007
-0.088576	-4.2347726556755445
0.313275	-3.5703657050956696
0.284678	-4.156676040241132
0.038625	-3.9740215596376585
0.192922	-4.20232758555778
0.066344	-3.871827000311452
0.000382	-3.7261768675214895
0.085284	-4.0088216143166235
0.201703	-3.8656257074188063
0.142031	-3.850259232259425
0.239731	-3.7383775015531433
0.055612	-4.299822275022532
0.204502	-3.2677905683881554
0.076753	-4.38820397004285
0.176342	-3.5920335025619767
0.045704	-3.893183613095359
0.097119	-4.2377624403626255
0.164592	-3.714036566867117
0.212992	-3.2890381060745164
0.073123	-3.694312770410502
0.111802	-3.6924157755299105
0.100879	-3.8141766492930964
0.082907	-3.892932876966494
0.041605	-3.479609314867219
0.020329	-3.4053468180194995
0.053687	-2.800519556582504
0.194052	-3.890187493716801
-0.005304	-3.7829652206974504
0.058277	-2.83357348733374
0.117952	-4.454802886728577
0.279710	-4.471952734967221
0.335590	-3.8204660225624294
-0.032418	-4.3660199081142625
0.236629	-3.7995069131255974
0.210673	-3.8621506743858096
0.145352	-3.6601864669742827
0.144989	-3.332567897636741
0.324271	-3.945513230836485
0.261176	-3.5350491533935235
0.057440	-3.8790942940226425
-0.077331	-3.997080659401441
0.264816	-3.0980373273359083
0.202558	-3.900182365327488
-0.044144	-4.55873974882856
0.066551	-3.9020125761945934
0.188139	-3.823850173055107
-0.022244	-3.5982793407999263
0.005783	-2.559055597679173
0.292246	-2.706360181516032
0.295314	-3.8360178719940734
0.140565	-3.921369481945672
0.147987	-1.8870057292305555
0.354072	-3.525742592223902
0.131427	-4.379736374145236
0.096828	-4.319414111986213
0.183824	-3.3860507168538607
0.396061	-3.720580320500978
0.102657	-3.8246631563878077
0.198252	-4.090904846632727
0.088491	-3.853041742547906
-0.042107	-3.0507524570475404
0.214440	-4.261202026716372
0.052052	-3.6350898300529337
0.159552	-3.0681727461285417
0.255211	-3.762312316844969
0.199380	-4.008809608577906
0.065499	-4.132298779393485
0.215075	-2.200363905576966
0.015646	-3.9747846090727847
-0.006133	-4.0666191186475285
0.225429	-3.7955142968122892
0.149305	-3.2485667038547787
-0.070251	-4.146575472784547
-0.009968	-3.7705182404422706
0.063703	-3.9888383332014348
0.117327	-3.775938384234109
0.320666	-3.7381977817157623
0.095538	-3.9380567239206394
0.082930	-3.8062497091349567
0.015476	-2.7749796072003385
0.299384	-4.407602024608424
0.029804	-2.6489312941399827
-0.041894	-3.6682523956309967
0.115947	-3.365309912371389
0.443072	-2.922432566427761
0.367680	-3.9628738640605787
0.504784	-3.5516614369588178
0.122880	-3.4419793315259066
0.101780	-4.419093152516729
0.023957	-3.8783658707708826
0.004547	-3.2476752795698327
0.149651	-3.729722251210662
0.282872	-3.5277170771783743
0.168694	-4.314992916866781
0.100107	-3.621014050892602
0.187780	-3.075929692001916
0.506576	-3.6998048995800388
0.327200	-3.9408003634012263
0.247087	-3.878474355428665
