DeepBind	NRLB
0.371571	-1.3671152624575371
0.576698	-1.4318780433914924
0.388712	-1.4226049866124453
0.109348	-1.5547236600536873
0.308599	-1.5421091432888556
0.303871	-1.524610678311882
0.220890	-1.3423248796519123
0.409129	-1.1525785746992683
0.146702	-1.5669126742949857
0.368280	-1.3818866960527185
0.212864	-1.3720932384888958
0.350435	-1.5236897532431504
0.367446	-1.4118065193995348
0.408454	-1.5279870358267917
0.056640	-1.5305815166939738
0.505033	-1.5232610206427155
0.115945	-1.236350839735916
0.311847	-1.1975042562456706
0.433991	-1.3799362921758271
0.206362	-1.470488384355264
0.512981	-1.336610162699966
0.266822	-1.4686804759358374
0.143203	-1.5371859525740101
0.241167	-1.5345192266189334
0.452353	-1.3430666846494161
0.848349	-1.517781383827424
0.306933	-1.498413899524801
0.400126	-1.4412551096445252
0.199477	-1.5786200791612948
0.252137	-1.4399866849139673
0.129374	-1.5087639387405638
0.108417	-1.3458686414837158
0.385940	-1.3230532087800009
0.154625	-1.3066303725297514
0.478718	-1.2625641422145235
0.243741	-1.6093795884258586
0.105809	-1.5943079294641174
0.462818	-1.5966080106525493
0.173114	-1.4419151759572633
0.622752	-1.4309448835370704
0.306082	-1.4339397921829247
0.090108	-1.4013224835107503
0.213217	-1.4803356633817308
0.161162	-1.512382603058264
0.145851	-1.5142614443551399
0.564483	-1.4271334858134146
-0.084915	-1.5008204211748333
0.058844	-1.4916393188845456
0.359594	-1.2471720987470611
0.207471	-1.312171764214125
0.305452	-1.551503983064184
0.369102	-1.373572608108084
0.296735	-1.4718497481488415
0.418434	-1.35233878585059
0.125121	-1.6100834586264006
0.279119	-1.538172915624944
0.542418	-1.4911559637052725
0.119719	-1.1819073721416018
0.444890	-1.3585297189030083
0.079766	-1.421382811176697
0.460147	-1.3713543485997293
0.520864	-1.5719987186779045
0.780398	-1.506771419863246
0.399146	-1.4006327094985456
0.836073	-1.1883313863694314
0.323524	-1.3380936727379142
0.286690	-1.5224704800020359
0.122230	-1.5228777535250098
0.230536	-1.3720274025397832
0.620346	-1.465271839404547
0.358632	-1.5724964880690009
0.125654	-1.4336566703269824
0.343142	-1.347501365198822
0.118954	-1.5973456171064462
0.423150	-1.5397920472155342
0.151582	-1.541129449804906
0.324505	-1.4494232171137706
0.319551	-1.46234941842384
0.375900	-1.4665400783906108
0.218818	-1.493586711660035
0.257026	-1.5181914549669093
0.402556	-1.3538795036162263
0.261902	-1.4930666260413945
0.450805	-1.0702349218099922
0.246317	-1.5692519601613542
0.506355	-1.3007841184613476
0.384176	-1.2903743499617348
0.253303	-1.4260189236419791
0.418393	-1.4575747727243704
0.022312	-1.5598301192256845
-0.048313	-1.4159716336073431
0.377507	-1.4092905170918566
0.380375	-1.3735272807931378
0.060918	-1.5479376763642578
1.961214	-1.1789152855133878
0.167169	-1.3896754284084256
0.242418	-1.5646775020846893
0.232272	-1.590829483069687
0.401045	-1.318666714650802
0.033656	-1.618499360991778
0.475771	-1.393213186782566
0.497926	-1.3706901795258906
0.295064	-1.4584670724723265
0.421261	-1.3375979239006153
0.386500	-1.206081943320784
1.196667	-1.3153417530494675
0.352074	-1.5295639119343984
0.353421	-1.441332131291315
0.483525	-1.4729480951567266
0.287512	-1.376168335836499
0.311849	-1.3263520971605953
0.603179	-1.3455253494192383
0.351457	-1.3966577318368236
0.335656	-1.5234202602050548
0.181796	-1.3616978405748434
0.341026	-1.6012684096478795
0.079064	-1.6246553261388879
0.224592	-1.2998889605775519
0.144269	-1.539362458192445
0.625272	-1.5506135133674501
0.193807	-1.297442216500724
0.323692	-1.5499822533096013
0.389735	-1.5665420736476492
0.375308	-1.313782687392561
0.150934	-1.347982105949815
0.222303	-1.3875933560421188
0.341851	-1.6016158294439624
0.902356	-1.361546159644473
0.358866	-1.5821884449066783
0.192967	-1.5988926255818188
0.515083	-1.358210572587484
-0.082800	-1.3151225896464156
0.570491	-1.5370470774666753
0.274904	-1.5414239777028167
0.175376	-1.5575924521572029
