DeepBind	NRLB
0.502380	-6.130500071615215
-0.414096	-5.038828055523291
0.740360	-5.461762574505244
-0.308988	-5.7733648125229635
-0.189097	-6.290010722558186
0.610106	-6.387479246455517
0.380757	-6.569827143274797
-0.455791	-4.960040604691981
-0.105756	-4.821587904248538
0.471904	-7.151306827520668
0.171072	-6.141440660910011
2.388178	-5.9097622760529145
1.224697	-5.952426602866486
2.490630	-3.126063614226602
-0.041057	-5.749112962993131
-0.566938	-4.666441033595166
-0.446048	-5.765434004406193
0.942697	-7.004383300371172
0.000246	-5.3179376775417495
1.668257	-6.786497859312637
0.054722	-5.259489950521596
-0.130045	-5.981862694440443
-0.164135	-6.862866459085835
0.308430	-7.116108980134716
0.852540	-6.506432685441727
-0.047950	-5.627522305545954
0.125793	-5.618335415274063
0.467574	-6.943795720935958
-0.480853	-5.229616633764562
0.443417	-6.138910052505516
0.149172	-4.45729004910859
-0.018005	-6.191467492423448
0.510534	-4.248956324273358
1.432182	-4.851628081719316
0.479016	-6.3243341022847055
1.638467	-5.6244469782965165
0.045439	-6.928121023528627
0.489845	-6.85127921833201
0.329031	-5.61063619394645
0.267951	-7.266267670930643
0.487925	-5.993132294115381
0.570828	-6.745778622919026
0.377442	-7.1255870592348245
0.040900	-6.99854237400381
0.785406	-3.5513674722092574
1.219190	-5.621078853405388
-0.449994	-5.880322995551416
0.788636	-6.4489163231882705
-0.355299	-6.226024051150229
-0.037945	-6.538345551401187
0.036006	-6.759542910442939
-0.187638	-6.204298053941436
-0.465500	-5.970241461848403
0.595858	-5.63919093305776
0.666079	-6.034272416515939
0.395614	-7.175651614375299
0.201524	-5.802469085790678
-0.216082	-5.845626275376329
-0.717963	-5.0047476473942245
-0.193397	-5.495430605270737
0.478002	-6.4445722126994145
-0.190711	-6.762960229998712
0.469847	-6.193575180813379
0.538739	-7.002592224427225
-0.207978	-6.251089409474336
0.517860	-6.556673003217605
0.443395	-6.6958168759189
0.742438	-6.185822855258461
0.575749	-6.60383393900853
0.231627	-6.8568058238386165
-0.139547	-5.988872756493098
0.184200	-7.024902747132205
0.409733	-5.952609962645662
-0.689338	-4.564060554241783
0.557685	-6.7724407258469395
-0.043544	-4.585479899794739
0.741712	-5.842601430204456
0.496643	-6.202049577336135
-0.162600	-4.62438929333747
0.350246	-6.130988527259448
1.747020	-5.690537669267082
-0.370745	-5.712684455804212
1.456388	-5.513541754204315
1.655936	-4.4917142251619975
0.438614	-5.848597450265314
0.577791	-6.2467086317358245
0.454147	-7.262751680251236
-0.103598	-6.374034151475309
0.975227	-6.704024516672335
1.278625	-6.0221662519613774
0.126785	-5.671623177202206
0.075166	-6.21384388003762
0.180394	-7.032950166137691
0.564245	-7.036958762545248
0.272202	-5.166162299981697
0.424886	-3.467932862178779
0.332233	-6.005433633082273
1.026962	-5.5049631281594005
1.196013	-3.8386509555692423
1.936607	-4.3720166922759045
0.836126	-5.69230199625548
0.543750	-6.843295988009339
-0.287824	-6.710683937366616
0.872120	-6.337822216563316
-0.043648	-6.446531863440279
0.194621	-5.906284605606396
0.706554	-6.558728393983453
0.525806	-6.970824047284194
0.348461	-6.399495217579349
-0.123549	-6.56134096224712
0.723028	-6.9956360817557
0.526868	-6.537958387531413
0.521901	-4.868309232398756
0.334718	-6.2367002113044405
0.481273	-5.756638338005757
-0.160246	-5.117173952153164
0.718551	-6.966256751346657
0.527817	-7.12071118399551
0.377381	-5.026625605544709
0.902756	-6.76211927041447
1.343052	-6.718169643772166
0.165013	-6.666373228048477
0.358828	-6.777281789292224
1.906597	-6.164529725610885
0.371148	-6.5060431461635435
0.900233	-5.9964916134631885
0.171873	-6.319863372884443
0.225790	-7.032057264135568
-0.555961	-4.864105144214741
0.573681	-6.582798134511308
0.099258	-5.857424926612358
0.153064	-6.365349493549587
0.797473	-6.514746560827263
-0.195117	-6.545287205466845
-0.150857	-6.362758836088458
0.163285	-7.181776266495499
0.177342	-4.889668751619698
0.166771	-5.788088524242646
0.471256	-4.893417703189149
0.341303	-5.110912845550678
0.532272	-6.337389055078125
0.528734	-6.923489534350046
-0.600570	-5.597355803696712
0.762127	-6.7697555494931345
0.258714	-6.1086889708218255
-0.219045	-6.551066460535204
0.246934	-6.231027744294815
1.027485	-6.93805457609368
0.239346	-5.807521601720776
1.259062	-6.978649156450396
0.586759	-6.77283818334134
0.648721	-6.959071553995479
0.083998	-6.314147202820518
0.930493	-3.685178878305611
-0.099578	-5.6352045563509385
1.902489	-3.608375906920359
0.122563	-6.626817405899102
0.251925	-6.006282706703162
0.231925	-5.830249264179032
0.431334	-6.601165426853634
0.142633	-7.043410919034297
-0.475085	-7.038459558627824
0.334967	-6.664291822558345
0.062579	-5.200484153322549
-0.013168	-7.001724971901417
0.608270	-6.844302225334911
0.450763	-6.886118294915201
0.559623	-7.256376229446739
0.906598	-4.390117796691666
1.836132	-2.9659313352627295
-0.230452	-6.383243932621014
0.003039	-6.773540051252963
1.269101	-6.751675347807418
0.596086	-6.837325163828717
0.543185	-5.743897580246518
0.002417	-6.8828611643860755
0.772876	-6.943294425714791
-0.489092	-5.734848508777263
0.342117	-6.850755195802768
0.409448	-5.560311505051057
-0.077639	-6.54097582263313
0.101809	-5.589195044771327
0.373553	-6.146164440564736
-0.227465	-5.7963620226438
1.011769	-6.25366441155345
0.089966	-5.137441359258185
-0.013970	-6.565365989841677
0.524859	-6.150160739532613
0.812606	-4.741258195019404
0.191936	-5.182294448240242
0.108562	-7.164035449165997
0.022404	-6.842468519373384
0.698553	-6.716160474755609
-0.333195	-5.6722723254815595
-0.125907	-6.0116032210022246
0.131718	-6.249074396400333
1.133379	-5.290805548413009
-0.366666	-6.574266749107903
-0.096961	-6.949713297786903
-0.043303	-5.9663493257667986
0.510626	-5.256297075976106
0.189598	-6.792180341507344
0.127914	-6.406579219767927
0.180548	-5.82072951112873
-0.541744	-4.901912095407503
-0.465319	-5.958466848719861
-0.123267	-6.267064493951139
-0.213092	-5.389502174933217
0.597244	-6.607025689958565
-0.687612	-6.014292582240264
0.397350	-4.355196540371492
0.638986	-6.852735401410472
1.113326	-6.962009635636128
2.622808	-6.49728322769843
-0.031723	-5.739781013390494
0.939324	-5.257288184565684
0.229365	-6.3536183688433185
1.056569	-7.154948259076855
0.405316	-5.751737527038307
0.650927	-6.817983732507414
0.578754	-7.338903391224689
-0.501607	-4.99380407626807
0.172058	-6.6234720775330125
0.237710	-5.49739297216274
0.030029	-6.193610129206121
0.248421	-5.767223789693343
0.970967	-5.322616989404789
0.390718	-6.061781854489922
0.617392	-4.310309295350234
0.377395	-6.075383888512407
0.979436	-6.325077366309152
-0.553115	-6.4318969866461035
0.296202	-5.946516996942915
-0.488094	-5.262022546014002
-0.438209	-5.565924238931641
0.710602	-5.620426236149488
-0.009053	-5.682414204481582
0.116428	-5.856934686348521
-0.496942	-4.858387275385531
0.413540	-6.498070916891212
1.511964	-6.421259400368243
1.072679	-5.885630980298832
0.369261	-6.122089161791987
1.087598	-5.346727831076028
1.175911	-6.120388218617282
0.454010	-4.150405768161068
1.304421	-4.470934978180195
-0.211998	-6.49651965192341
0.194887	-6.0583044232677175
0.247626	-6.216176649193898
-0.311103	-5.750096022475092
-0.177349	-5.730790478909172
0.052978	-5.547028602495869
-0.114317	-6.549999445291627
0.549905	-6.759673762044423
-0.069451	-6.063156911344228
1.110281	-6.0291150652829115
-0.632174	-5.789163973546433
0.594081	-6.166077493117111
-0.114454	-6.860917582272719
0.626745	-7.225184367395339
0.529408	-6.156123303099967
0.871659	-7.167992965951211
1.049036	-4.6486310343346
0.135892	-6.6741739490443805
0.845642	-6.2887947223124545
0.582032	-4.889973405934658
0.753207	-6.740841087247967
0.618716	-5.439468394001421
0.452288	-6.183173875837205
-0.043894	-6.881757941175463
0.454877	-6.065842510637234
1.158189	-4.82786880467229
0.082795	-5.343097964508635
0.568694	-5.917097488554618
-0.068661	-6.456336254388952
1.025445	-3.9246917496860516
0.014376	-6.218662772965617
0.851007	-7.050683683272416
0.886573	-6.138529336790713
0.279093	-6.0809274241187055
-0.153329	-5.049360271822348
0.926647	-5.515588251380421
0.445014	-6.9360862467986415
0.546694	-7.258195195021556
0.176578	-7.189204082730275
0.729122	-6.861576634888092
-0.288665	-5.365319579294961
0.045622	-4.978030308710981
1.348717	-5.017113451773007
0.765179	-7.060138660577199
-0.280378	-6.472983510182871
-0.073721	-6.173590644991727
0.605294	-3.83826182653887
0.694196	-6.734862238128543
0.025943	-5.83496841375862
0.051864	-7.028914505904589
0.921912	-4.376887369708449
0.187765	-5.642425129940921
0.655937	-5.828902263872697
0.012526	-6.449979148255777
0.410229	-6.621634718361844
-0.244492	-5.791228074617801
0.815474	-5.476685030224205
0.396490	-6.082335349069605
0.576059	-7.304165473866947
0.487289	-6.14403510120087
0.100562	-6.161003201311868
-0.075976	-5.416421405567724
0.985225	-6.476241393809466
1.206910	-6.196810310131702
-0.046138	-6.599766616440634
-0.250620	-6.313576102540302
0.828164	-7.287239441425569
0.248915	-6.3819065057483
-0.072263	-6.262921410428935
0.133776	-5.902198878939707
0.000220	-6.89654895057609
0.334427	-6.328056448046556
0.072195	-6.308086286059638
0.322760	-6.5545396430804965
0.685998	-6.1676083938019755
0.192048	-6.220044735014742
0.273442	-6.298818866043307
-0.168081	-6.374272419322919
-0.004324	-5.082942331969087
-0.111924	-6.566171971204115
0.011608	-4.922240461758846
-0.180525	-5.917308491686508
-0.013912	-6.432719663065005
0.210108	-6.304374182367285
0.359391	-6.483461699853791
0.716075	-5.376723743849751
0.865522	-6.907464762655463
0.534700	-6.1840026063854605
0.381878	-6.76222886536346
0.249274	-6.3118880063467175
0.902414	-7.2414970383712145
1.339691	-6.865295670108266
0.025006	-6.619535731941919
0.671697	-6.451774428419501
0.216575	-6.351274473034085
0.608957	-7.184841010676787
1.002967	-4.911527854823189
0.354732	-7.2777161298581685
1.970832	-3.233087027948671
2.524105	-2.9319540518442313
-0.398259	-6.409037406769079
0.309672	-5.248048796578737
0.027171	-6.005376203989527
0.257334	-6.154831674691315
-0.116417	-6.876110033252666
0.221361	-5.1483175437658835
0.354661	-5.838862968568315
-0.103208	-5.629746032413277
-0.250574	-6.698165795134817
0.364660	-6.402252900809846
1.354342	-7.143281331084188
0.421867	-6.0406744771686
0.343748	-6.076823081802947
0.857940	-6.888913912565773
0.806169	-6.929103776345471
0.914417	-4.480042579019388
0.217837	-6.0608486424078
0.582786	-6.426579859166283
0.081922	-6.0113843035791215
0.393020	-5.248646966926511
0.418667	-5.694750009835826
0.110200	-5.059281306345541
1.032185	-6.941131868656616
0.162794	-6.574888255045195
-0.206426	-6.469630361184082
0.058706	-4.963444925578299
0.076097	-6.413081790563602
0.250314	-6.9119498798932115
0.821904	-6.235400906718528
0.316105	-5.546208502966334
0.671195	-7.051162509095835
0.531894	-5.585205702642757
0.041277	-5.556279042596597
-0.172460	-5.3075337276433086
0.809227	-6.157007834222721
0.989413	-5.5877428262789115
0.296517	-4.186337282778698
0.482462	-6.327695254438758
0.521398	-6.46250183445477
0.552213	-6.6807540272918615
0.253695	-5.24604654523895
1.075832	-4.6463489565935765
0.244525	-6.122992958939842
0.447420	-6.417660165209171
0.477412	-7.080709376870974
1.160728	-5.308875879730598
0.996804	-6.2129397901097105
0.154089	-5.953758985565604
-0.017350	-5.6062038771213345
0.403636	-5.7819570314404
-0.483251	-7.0487234786437645
0.275544	-5.736484240524803
2.388951	-3.2946531616725045
0.302104	-5.624210999799219
0.231797	-4.673330664189889
1.003519	-6.146714951472187
0.701856	-4.762286840881081
0.441469	-5.493658144037576
0.408934	-6.393286171779007
0.982136	-6.011711903994434
0.874688	-5.174670298534472
-0.215046	-6.754658371053209
0.643042	-6.895130637286024
1.002756	-6.627326597317034
-0.201097	-5.5255039791873575
-0.261093	-6.235642569048409
0.367584	-5.906520825740077
0.092766	-6.67781228420396
0.386111	-5.032466593146202
0.125784	-5.697917789404718
-0.200476	-5.002701837295816
0.293175	-5.842146692465737
0.641962	-5.08595021091053
0.112400	-5.337115633665261
0.238537	-5.749190618822585
0.112371	-4.349882218581087
0.529921	-4.41727097671143
0.345955	-4.867491289456922
0.136664	-5.86576726838374
0.271244	-7.011991629745252
-0.071863	-6.241391559106428
0.290610	-6.949337831391523
0.875992	-6.58071930638434
0.000973	-6.315540378929662
-0.308345	-6.176515457001671
3.091259	-2.4205098950273403
0.497194	-6.990162665496724
-0.209693	-5.3566347003592
0.752118	-4.86773324679784
1.466106	-5.843257166070361
-0.363526	-5.791034922567579
0.053522	-6.372800285464799
-0.071878	-6.47535356105101
0.362198	-6.875726929392887
1.215360	-7.324591728543145
0.739717	-6.816890430874391
0.553593	-6.829201756862356
1.221721	-7.198269249529156
0.128207	-5.56785702819921
0.059698	-6.630989846597366
0.579685	-6.3893674087811725
-0.291084	-5.08002180819256
0.539330	-5.772361925338194
0.022608	-6.0147050291839985
2.216916	-3.512837060412202
0.914801	-5.630346283443171
0.110464	-5.933009824310199
-0.140912	-5.485113279979522
-0.030818	-6.215492871262335
0.015167	-5.761748043556291
0.226425	-5.255696073569219
2.028830	-3.165205198592148
-0.104383	-7.011500824790996
0.620518	-4.413164112520088
0.469133	-5.988404507225523
0.247261	-5.938204614914815
1.357238	-5.787116340969732
