DeepBind	NRLB
0.664052	-8.046973922633397
-1.608272	-8.613566728012968
-0.338211	-8.335800662245527
-1.463870	-8.881451080403838
-1.139274	-9.137686739024533
0.096520	-8.30606960898235
-1.556949	-8.611976297957778
3.501534	-7.643660277099875
1.310839	-8.915865539635641
1.661946	-8.763249784548227
-2.608997	-8.930378791785158
-3.315894	-9.048581131788593
-1.967467	-8.989302078011649
-2.721535	-9.133106345154458
-1.345956	-8.942014342404649
-1.441462	-9.091076846346743
-1.237320	-8.909578700803403
-0.018137	-8.740811875199954
-0.806333	-8.7462520435336
-3.098028	-8.921951357569599
-2.672226	-9.149549693948375
-0.609267	-8.742708868510688
-1.835031	-8.782870646105875
-2.692121	-8.971233833152823
-3.499689	-8.851425317365397
-1.814565	-8.295122770928861
-1.926057	-9.013325143614335
-0.209614	-8.64229701741728
-2.366657	-8.932383514754381
-2.606186	-9.080030602720264
-2.151140	-8.643647961295338
-2.717167	-8.989211205450674
-1.119969	-8.822960275846572
-3.344449	-8.95990312510105
-1.098853	-8.584906233700472
-1.899630	-8.673466883116692
-1.274805	-8.843991319335817
-2.287616	-9.240213332230734
-2.709174	-9.053834722396855
-3.020852	-9.005943214353701
-2.423206	-8.752150173336245
1.281259	-8.399598723232778
-2.230031	-8.845847727085111
-1.764914	-8.781046277695088
-0.314905	-8.813745386621338
2.347463	-7.773403487683919
-0.318736	-8.54944769371914
-0.587020	-8.410291430384252
-1.407283	-8.668635081751404
-0.623165	-8.678415431690699
-0.891063	-8.764192066817758
-2.283703	-8.940495551131688
-2.901587	-9.153628403308009
-1.153241	-8.78003749587403
-3.238015	-8.9610908926923
-0.323764	-8.79667428050056
-2.761127	-8.757371608172514
-1.657983	-8.66768721574483
-0.382940	-8.260706954294708
-1.827785	-8.856151198034016
-1.241273	-8.85550477833187
-1.919508	-8.584932273891072
-2.952878	-8.951097566292527
-2.460681	-8.896373518807358
-0.493892	-8.230568708322433
-2.281702	-8.796993785829626
-1.531267	-8.833832447627788
0.120528	-8.538793251135608
-2.029592	-8.953486858807686
-3.692854	-8.802228198247828
0.243599	-8.782075666290616
-2.903043	-8.998172105756522
-1.562335	-8.9498936716279
-1.640497	-8.76271194979593
-0.492692	-8.330076648345997
-2.548637	-8.91233221218006
-1.419801	-8.619140249927348
-1.553528	-8.933876324532413
-2.285410	-8.898876602947851
-2.678968	-9.060768991148992
-2.319088	-9.008428957657223
-2.151049	-8.820773388503705
-0.856516	-9.101267822873137
-1.755384	-8.604435124044949
-1.912998	-9.088871688438196
-0.105669	-8.619722957769815
-1.636249	-8.646656814659574
-2.579186	-8.57628605463011
-1.817935	-8.52138855399076
-1.694243	-8.901050168785524
-0.767130	-8.97772115067184
-1.880101	-8.803718766297113
-0.479546	-8.963037564612135
-2.257478	-8.912109302931032
-1.803589	-8.86848566353894
-2.685019	-8.916759684522399
-0.834620	-8.907538612312136
-2.449098	-8.846893638294231
-1.634095	-8.589646775294312
-1.686046	-8.818324152449286
-0.227324	-8.954616607528296
-3.537874	-9.076252142217019
-1.401954	-9.019057916903593
-2.940964	-9.011346125855418
-1.272010	-8.955013188335755
-2.040767	-8.882500308230775
-2.780329	-8.897629607639981
-2.462122	-8.869172051684817
1.269485	-7.8455308004602795
-3.433608	-8.845458567596674
-0.768644	-8.934993306044959
-1.391060	-8.973384399506765
-1.733195	-8.928346897551343
-1.246706	-8.817285061862018
-2.172294	-8.836156380189088
-0.838168	-8.628575569706468
0.904538	-8.601826835028076
-1.901393	-9.173218464342186
-0.904034	-8.729489035632435
-2.569219	-8.811175721653703
-2.778474	-8.785634110838183
-1.602757	-8.769878562202774
-1.873553	-8.88585339537439
-0.983827	-8.670623268728074
-2.794789	-8.949166682512116
-2.851794	-8.646449154587135
-2.336997	-8.814295414773332
-0.116372	-8.039059957710503
0.804633	-8.899570574195673
-2.577930	-8.72501724788914
0.701251	-8.744637829921453
-1.993222	-8.795166316644542
-1.569047	-9.169050157473091
-4.159658	-8.898460414193682
-0.604404	-8.848962842852593
-1.901917	-8.725866924341155
-0.887471	-8.680152137418004
-1.729001	-8.889063343799176
-2.314408	-9.142315656177967
0.494311	-8.910513760874155
-2.459916	-8.865066539284765
-3.064577	-9.193841585964764
-2.271431	-8.962512318884698
-1.060558	-8.404043021178678
0.230779	-8.638781576847123
-2.602129	-9.094497820961303
-1.010398	-8.93959022788724
-2.392888	-8.714912074265916
-2.597413	-8.830854394520802
-2.541466	-8.816152807657403
-0.719068	-8.837929042957038
-0.200226	-8.573264269989476
-1.068398	-8.71330119181525
-3.024633	-8.725130854065581
-1.858345	-8.9758812193988
-0.533609	-8.515071665840242
-3.759111	-8.849177343265268
-2.906518	-8.893691451401699
-2.075309	-8.909932702755473
-0.842226	-8.989171957853603
-0.449441	-8.609484987509537
-2.057644	-8.941475144513115
-3.187478	-8.987731661905261
-1.256250	-8.796419927857213
-2.297261	-8.527139817478606
-1.749755	-8.974472783036132
-2.554901	-8.820271497625162
-1.364955	-8.325197409168037
1.293560	-8.107994467556104
-1.733553	-8.981911710105692
-2.225115	-8.93702389942461
-2.041880	-8.849488967875738
-1.126670	-8.783545618773248
-2.337270	-8.696579786763921
0.544217	-8.775822611437277
-2.029706	-8.77347646019753
-1.042529	-8.949566481199021
-2.687971	-8.870130209429586
-1.685215	-8.682828440044918
-0.749158	-8.47661007653374
0.455406	-8.366710564116339
-2.503711	-9.037717480442632
-1.481682	-8.892175278991106
-1.713323	-8.70617831666283
0.969185	-8.207428677319726
-1.299489	-8.956082563065845
-1.005079	-8.688209875371156
-0.155512	-8.660196969665822
-2.187926	-8.986485975783292
0.108667	-8.638594964406403
-1.774338	-8.70203550110886
-2.775978	-9.108971497097366
-1.511928	-8.710150352209016
1.129154	-8.720600285171136
0.562838	-8.142407329207352
-2.092355	-9.130227197235737
-2.617930	-8.624912851741616
0.514837	-8.763067239222696
-2.469811	-8.953979514926353
-2.973357	-9.010705445726465
-1.756005	-8.792267845058664
-1.019996	-8.7457000613084
-1.968957	-8.802558935462338
-3.470160	-8.983599525985001
-0.761108	-8.671947218941096
-2.199714	-8.795189035133712
-2.135235	-8.743720694824086
-2.427028	-8.980358631614402
-1.598345	-9.09509888008792
-2.788894	-8.986831951310524
-1.247240	-8.743954515293291
-1.070149	-9.00559454269785
-2.491982	-8.67136609208405
-1.962049	-8.808995437779814
-2.120538	-8.934787510027697
-2.658798	-8.813063499090237
-1.752020	-8.941906783468369
-2.485038	-9.033900216152622
-2.878375	-9.279227116098161
-0.831675	-8.604445920967711
-2.709856	-8.900589994504628
-0.720304	-8.450641679154367
-3.081145	-8.889210516893744
-1.207673	-8.764361884634196
-2.969363	-8.948809328452313
-1.213233	-8.698013481614238
-0.885086	-9.076882439369943
-2.223483	-8.843274692916031
-2.260480	-9.144442530285744
-0.572507	-8.912287694619987
-3.653073	-8.871052249144165
-2.154624	-8.841861111780743
-1.817355	-9.023895710086094
-1.535145	-8.483046716644749
-1.246176	-9.059870115085278
-1.343821	-8.53973385025364
-2.900742	-9.057739949624109
-0.946747	-8.71441999625209
-2.757070	-9.123913171889825
-3.007552	-8.785011202978325
-2.633145	-8.711319647988887
-1.452107	-8.974327657069828
-1.869020	-9.12907763718462
-0.513904	-8.329763949835131
-1.733007	-8.899836957704704
-2.127822	-8.56484939747878
-2.129386	-9.013002422185831
-2.510698	-9.066984663915452
-1.056078	-8.719313431444224
-2.146044	-8.92131024477571
-1.879467	-8.950697160488636
-1.339363	-9.023494980646428
-1.883427	-8.791135271445917
-0.902138	-8.702290907212515
-1.905840	-8.861362382763843
-1.555349	-8.391010859643854
-1.881052	-9.140146542422027
-0.906520	-8.460921305906176
-3.623414	-9.063257335560358
-2.309801	-8.81289294084955
