DeepBind	NRLB
2.450718	-2.4390177192507245
0.128065	-2.583176568697381
-1.427492	-2.649677797583813
0.262942	-2.470558550197582
-0.156732	-2.5948264423507146
-0.088005	-2.6956444328883533
-3.421948	-2.71435575913471
0.372212	-2.510018889397629
0.108615	-2.503689636256375
-0.046013	-2.611460571578387
0.418005	-2.6583220995311527
0.054607	-2.515807827898708
0.057104	-2.562611514254029
0.332289	-2.5998255299636934
0.275863	-2.565647501620139
0.402325	-2.442434077164925
0.136781	-2.6649076058472665
0.300308	-2.493322352374909
0.237134	-2.5539035194405075
0.128965	-2.5414644718059156
-1.115981	-2.6223162483742013
0.044778	-2.7094790573737124
-0.534973	-2.4917056900419285
0.000609	-2.5087998211244815
-1.174120	-2.5323793164085764
0.046517	-2.6067085056626307
-0.046776	-2.6162298962001347
0.373742	-2.5047417026374754
0.291707	-2.4479371260940828
0.172780	-2.3917559233571164
0.252549	-2.610495348919988
0.041077	-2.513984991181765
0.014943	-2.653950807502471
-0.157295	-2.584637029538669
0.582183	-2.6909146953633325
0.213802	-2.574425503637578
0.137261	-2.4547547064500614
0.124260	-2.436725435776182
0.219885	-2.5880666741770404
-0.096704	-2.58817103928534
0.308261	-2.4490683898587027
-0.144857	-2.517944673395379
0.410077	-2.504643182207868
0.071476	-2.512543277525894
-0.029205	-2.6305624918412747
0.518120	-2.513413042925924
0.213318	-2.5595964818317594
-0.006414	-2.5293909791918234
0.233904	-2.5709640311348205
0.008378	-2.523022427326095
0.133655	-2.5686315686359302
0.063684	-2.6007697312621856
0.266247	-2.595206563407803
0.018615	-2.4728481006811265
0.167214	-2.559580139831516
-0.484077	-2.643966274178405
-0.108221	-2.5338861922883726
0.168504	-2.60135539465107
0.467680	-2.549604698385696
0.014886	-2.543451536583106
0.321092	-2.5499465562570167
0.017219	-2.4958915867735847
0.235348	-2.591299515135701
0.230289	-2.619155667112682
0.036706	-2.630587307863257
-2.297930	-2.6309735613656695
-0.026329	-2.587175496017474
-0.035208	-2.5147573319568073
0.270838	-2.543123948419262
0.142587	-2.6397107011108405
0.201605	-2.5666772149472346
0.098087	-2.5284040772863468
-0.025136	-2.670196704286214
0.331819	-2.569135990010442
0.129239	-2.475092364066632
-1.444886	-2.5744811839746413
0.411472	-2.5859608067606827
0.264239	-2.5012032213550794
0.090385	-2.583336092283367
0.407365	-2.6931852015971174
-0.157498	-2.5166562784587705
0.138708	-2.5042877971272945
0.407118	-2.6257060914732437
-0.296299	-2.7709657529020504
0.070557	-2.71002645360153
0.057203	-2.4710240894659696
-1.226653	-2.5726139842591276
0.244508	-2.6037428565741427
-1.442808	-2.5610103772647856
2.038948	-2.6769868574861397
3.015621	-2.4826120762712853
0.142200	-2.4954293887083625
0.231443	-2.6541133695724524
-0.351880	-2.6806098957536286
0.090850	-2.5869956174942432
0.136979	-2.4334699053938764
0.085381	-2.5999214205240686
-1.379402	-2.6412741701394085
0.175210	-2.491268079766124
0.296870	-2.5712657051174856
0.203771	-2.491442825871727
0.190232	-2.5883056515645997
0.001310	-2.5536139514638347
0.527166	-2.690817881224759
0.253322	-2.494598300449404
0.086001	-2.540212557037178
0.104613	-2.473417032626311
0.127758	-2.5295541471240597
0.474595	-2.53701164926901
0.079155	-2.5908970591552976
-0.011162	-2.5442262079360543
0.281616	-2.5420025101712764
-1.324523	-2.7282080635507415
0.371006	-2.4411149625434225
0.142020	-2.5857444526442883
0.377035	-2.555041018933293
0.227984	-2.490328147316048
-0.061813	-2.577572576964286
0.299110	-2.452620084189865
0.237197	-2.4445974139853948
0.155490	-2.560574779468024
0.058585	-2.743717311797786
0.080471	-2.5159582050151146
0.163641	-2.6269071467356926
-2.411140	-2.778663146440823
0.478560	-2.4203477491031355
0.070642	-2.6313063409612494
0.378802	-2.4951364646285183
0.059647	-2.6135740375306997
0.111457	-2.4551669602078188
0.420648	-2.627245763610365
5.372180	-2.309006072843725
0.028591	-2.508907350000646
0.227534	-2.572609835333117
-0.715536	-2.732826139154679
-0.241492	-2.687950773843423
-0.414141	-2.7053027100366607
0.288820	-2.5844932928468034
0.135270	-2.5806953980305276
0.180368	-2.5796113689397386
0.404620	-2.5589923657706253
-0.226532	-2.5876657917504406
0.006182	-2.5043767807722914
0.155074	-2.5299087838647187
-1.223859	-2.6996871770778617
0.170151	-2.4706217715615497
-2.603043	-2.5296237103370403
0.114687	-2.5087577358466757
0.201794	-2.4757286592598744
0.249271	-2.480423304880933
-0.046380	-2.6104684608838737
0.001859	-2.531812403965745
0.313743	-2.436093168809648
0.387342	-2.4316884640683476
0.052939	-2.581822688905342
0.008272	-2.553691673287676
0.035448	-2.5541938808711975
-0.221722	-2.642221544577402
-0.058879	-2.5782411928655855
0.278989	-2.4483115592081037
-0.009437	-2.665241174292917
0.124841	-2.6474158390462144
0.197806	-2.6057108311549824
0.190981	-2.614612797620749
0.083319	-2.699409329489122
0.448730	-2.4398793081190524
-0.104593	-2.6246299569608826
0.313648	-2.566148747003557
0.093634	-2.781348298836472
0.013792	-2.5984269868041534
0.163053	-2.4884516606487916
-2.010880	-2.509050525254052
0.016464	-2.475962385919767
0.236428	-2.5951022536529678
0.200953	-2.573269552701687
0.133383	-2.382051516848787
0.016362	-2.6697016834893397
0.307164	-2.533197702811633
-0.014363	-2.4971487355576953
0.256815	-2.511249324637355
0.337852	-2.467211800934428
0.357507	-2.4890266682652795
-0.020407	-2.481333986418272
-0.088414	-2.531605598961555
0.187986	-2.712135068838165
1.180916	-2.65143176770768
0.120578	-2.5539539251363204
0.460644	-2.7055778165871374
0.105348	-2.491890198629215
-0.128455	-2.5575787006749935
0.061054	-2.5849688352800353
-0.952528	-2.666922778384293
0.318638	-2.532238031925565
0.370766	-2.581856192697969
-0.812730	-2.707353960517069
0.340214	-2.5026858914384036
1.003587	-2.5280884924697435
0.415085	-2.5516126868434634
0.237676	-2.4126709322566438
0.140343	-2.583751564407351
0.054489	-2.5308439966745038
0.455870	-2.6584393639758206
2.545619	-2.520460557162249
0.229738	-2.4830827207303874
0.188335	-2.4415408590062024
0.428905	-2.481489408596504
0.028827	-2.528830544920437
0.590242	-2.463651296882242
0.255249	-2.52813355905479
0.674126	-2.544060700215152
-0.654601	-2.7196710990663755
-4.301747	-2.7092320241689114
-0.115989	-2.446146441623992
0.395520	-2.526594920032115
